Companies,Investment Stage,Deal Size,Deal Date,Round Investors,Description,Industry,Country,Total Funding,All Investors
"L
Lu.com",Series A,$485.00M,04/18/2015,N/A,Lu.com (NYSE:LU) is an Internet wealth management company that operates online lending platforms. Lu.com provides financing and lending services for small and medium enterprises and individual clients.,Internet Software & Services,China,"$4,321.00M",N/A
GoDaddy,IPO,$460.00M,04/01/2015,N/A,"GoDaddy (NYSE: GDDY) is a provider of cloud-based software and services that enable, empower, and improve the online presence of small-and-medium-sized businesses. Go Daddy offers domain registration, web hosting, and related value-added services.",Internet Software & Services,United States,,N/A
"Z
Zhubajie Network Management",Series B,$419.31M,06/15/2015,N/A,"Provider of an online trading platform for users to post tasks and projects and find people to solve the tasks. The company is based on a ""Wit"" and ""Key"" model, a model in which people or groups of people are paid by solving tasks and problems of other people. It operates an online website which allows users to post any tasks or problems to be done, and then find and pay the people who can solve them through the website's system. [Keywords: Web 2.0]",Internet Software & Services,China,$430.54M,N/A
"Z
Zhubajie",Series C,$418.60M,06/16/2015,N/A,"Zhubajie is a China-based crowdsourcing platform. Zhubajie has launched platforms for creative services, enterprise outsourcing, logo registration and copyright protection, part-time employment recruitment, and life services.",eCommerce,China,$429.60M,N/A
"A
Ant Group",Series A,$400.00M,07/04/2015,N/A,"Ant Group is a technology company that offers financial services, serving small and micro enterprises and consumers. Ant Group is dedicated to building an open ecosystem of technologies while working with other financial institutions to support the future financial needs of society. The company's products include Alipay, a payment and lifestyle platform, Ant Fortune, a comprehensive wealth management app, and Zhima Credit, an independent, private, alternative credit service.",Internet Software & Services,China,"$19,144.67M",N/A
"M
Match Group",IPO,$400.00M,11/19/2015,N/A,"The Match Group (NASDAQ: MTCH) provides dating products, redefining the way millions of people meet, date and start relationships every day. Its principal brands include Match, Tinder, Meetic, OkCupid, and OurTime. Each product within its portfolio caters to different communities defined by geography, demographics and relationship sensibility. The Match Group also operates The Princeton Review and DailyBurn, two businesses outside the dating space that leverage the company's experiences in direct-to-consumer digital service business models.",Internet Software & Services,United States,,N/A
Pinterest,Series G,$367.10M,03/16/2015,N/A,"Pinterest offers a productivity tool for discovering ideas for projects and interests. Users can discover and save creative ideas for cooking, travel, home improvement and more.",Internet Software & Services,United States,"$1,465.90M",N/A
"Y
Yixin Group",Series A,$360.00M,02/16/2015,N/A,"Yixin (易鑫集团) (HKG :2858) is the developer and operator of an online retail automobile transaction platform that connects Chinese consumers to a network of automakers, auto dealers, financers, insurance companies, and aftermarket service providers.",Internet Software & Services,China,"$3,240.80M",N/A
"B
Baixing",Series E,$354.00M,07/22/2015,N/A,"Kiqiji Information Technology, dba Baixing, is a free local classifieds website for their community.",eCommerce,China,$430.32M,N/A
"E
Ele.me",Series E,$350.00M,01/13/2015,N/A,Ele.me is a China-based online food ordering site. Its website and apps enable users to search for restaurants nearby and make orders without needing to register.,eCommerce,China,"$3,335.00M",N/A
Avant,Series E,$325.00M,09/30/2015,N/A,"Avant is changing the way online banking customers borrow money. Utilizing advanced algorithms and machine-learning capabilities, the company offers a unique and highly customized approach to the personal loan process. The combination of technology, analytics and customer service capabilities allows the company to offer an easy-to-use online process for loans to borrowers, all entirely online.",Internet Software & Services,United States,"$1,730.40M",N/A
TuJia,Series D,$300.00M,06/17/2015,N/A,Tujia.com is an online vacation rental services provider in China targeting middle to high-end Chinese travelers. Tujia manages the properties listed on their website and works with Chinese real estate developers to rent out unsold inventory.,eCommerce,China,$763.70M,N/A
DraftKings,Series D,$300.00M,07/27/2015,N/A,DraftKings (NASDAQ: DKNG) is a skill-based Daily Fantasy Sports (DFS) gaming destination for fans in North America to compete in single-day online games for cash and prizes across a large variety of professionals and collegiate sports.,Internet Software & Services,United States,$727.60M,N/A
"5
58 Daojia",Series A,$300.00M,10/12/2015,N/A,"58 Daojia (58 Home) is a multi-category local services platform in China. It provides information on and access to high-quality offline services such as cleaning, moving, babysitting, beauty care, and many other categories in approximately 30 cities in China. With its location-based order processing system, 58 Home's platform directly connects customers to the nearest independent service providers.",Internet Software & Services,China,$300.00M,N/A
FanDuel,Series E,$275.00M,07/14/2015,N/A,"FanDuel s a daily fantasy sports game that provides fantasy sports leagues that last just one day. It enables consumers to draft fantasy sports teams at any time in head-to-head or multi-player contests. Players pay an entry fee for each contest and vie for cash payouts awarded to the player whose team generates the most fantasy points. Headquartered in New York with offices in Edinburgh, FanDuel hosts fantasy football, baseball, hockey, and basketball contests.On December 3rd, 2020, Flutter Entertainment acquired a majority stake in FanDuel at a valuation of $4.2B.",Internet Software & Services,United States,$417.50M,N/A
Etsy,IPO,$266.66M,04/16/2015,N/A,"Etsy (NASDAQ: ETSY) operates a marketplace where people around the world connect, both online and offline, to make, sell, and buy unique goods. Handmade goods are the foundation of its marketplace. Whether crafted by an Etsy seller, with the assistance of a team or with an outside manufacturer in small batches, handmade goods spring from the imagination and creativity of an Etsy seller and embody authorship, responsibility, and transparency.",eCommerce,United States,$94.61M,N/A
ShowroomPrive,IPO,$260.00M,10/30/2015,N/A,"Showroomprive is an online fashion retailer with operations in France, its principal market, and eight other European countries. The Group's mobile apps and websites feature a curated selection of well-known and up-and-coming brands, and their platform offers a fashion-conscious and proven distribution channel for its brand partners' excess inventory.",eCommerce,France,$50.70M,N/A
"D
DFS",IPO,$254.00M,03/06/2015,N/A,"DFS is a furniture retailer based in Doncaster, England.",eCommerce,United Kingdom,,N/A
GitHub,Series B,$250.00M,07/29/2015,N/A,"GitHub is a social network to share code with friends, co-workers, classmates, and strangers. Users have access to free public repositories, collaborator management, issue tracking, wikis, downloads, code review, graphs and more. The hosted service GitHub.com is free for open source projects and according to much of the developer community, it has helped to improve open source collaboration.On October 26, 2018, GitHub was acquired by Microsoft at a valuation of $7.5B.",Internet Software & Services,United States,$350.00M,N/A
"B
Baidu Waimai",Series A,$250.00M,07/29/2015,N/A,"Xiaodu Life Technology (小度生活科技), dba Baidu Waimai (百度外卖), is an online food delivery business.",eCommerce,China,$310.00M,N/A
"B
Baihe Holding",Series D,$242.00M,05/21/2015,N/A,Baihe Holding is a multi-channel (online and offline) matchmaking service provider in China.,Internet Software & Services,China,$242.00M,N/A
"L
Lakala Payment",Series C,$242.00M,06/23/2015,N/A,"Lakala Payment (SZ: 300773) is an Internet-based integrated financial service platform that provides online and offline third-party payment services, as well as consumer lending, credit rating, and wealth management services.",Internet Software & Services,China,$269.00M,N/A
Windeln.de,IPO,$239.18M,05/06/2015,N/A,"windeln.de is an online retailer for baby and children products in the D/A/CH market. The company offers more than 55,000 products from over 800 brands, which young parents can comfortably order from home. The offer ranges from diapers, baby food and skin care products to safety products such as gates, monitors and car seats. Baby clothing and baby toys round out the offering, making it a one-stop-shop for parents.",eCommerce,Germany,$120.63M,N/A
"W
Weiying Technology",Series C,$235.13M,11/17/2015,N/A,"Weiying Technology operates WePiao (娱票儿), a Chinese ticketing app integrated into WeChat and QQ.",eCommerce,China,"$1,034.13M",N/A
DocuSign,Series F,$233.00M,05/12/2015,N/A,"DocuSign (NASDAQ: DOCU) offers a DTM platform that supports legally compliant, electronic and digital signature processes tailored to meet global requirements with localization in 43 languages. Global enterprises, business departments, individual professionals, and consumers have standardized on DocuSign to accelerate transaction times to increase speed to results, reduce costs, increase security and compliance, and please customers across nearly every industry – from financial services, insurance, technology, healthcare, manufacturing, communications, real estate, retail, and consumer goods to higher education, non-profit and others – as well as every business department, including sales, finance, operations, procurement, HR/staffing, legal, and customer support.",Internet Software & Services,United States,$513.43M,N/A
"F
Fangdd",Series C,$223.00M,09/16/2015,N/A,"Fangdd (NASDAQ: DUO) is a real estate shopping guide information platform that provides marketing services to property developers, brokerage agencies and home buyers. In addition to the web portal, Fangdd also developed multiple apps. Fangdd, a namesake mobile app of the company, is focused on individual home buyers who want to find property information. Fangdd Realtor is dedicated to brokers who sell second-hand houses. Fangdiantong is a marketing platform for property developers and breakage agencies and Fangpaipai is a dedicated camera app helping brokers to take pictures of houses.",Internet Software & Services,China,$311.00M,N/A
"W
Womai",Series C,$220.00M,10/12/2015,N/A,Womai specializes in selling imported products from overseas markets directly to Chinese consumers who are paying increasing attention to food safety and quality.,eCommerce,China,$320.00M,N/A
Domo,Series D - II,$210.00M,04/08/2015,N/A,"Domo is a fully mobile, cloud-based operating system that unifies every component of a business and delivers it all on the user's phone.",Internet Software & Services,United States,$698.16M,N/A
DianRong,Series C,$207.00M,08/20/2015,N/A,DianRong is a peer-to-peer (P2P) loan and financial services platform for small and medium enterprises in China.,eCommerce,China,$649.00M,N/A
SoFi,Series D,$200.00M,02/03/2015,N/A,"SoFi is an online personal finance company that helps people borrow, save, spend, invest, and protect their money all from a mobile device or desktop computer. The company provides the tools for people to do everything from one app on their phone.",eCommerce,United States,"$2,694.07M",N/A
"T
Tubatu.com",Series C,$200.00M,03/09/2015,N/A,"Tubatu.com is a third-party platform for customers, decoration companies, designers and construction material providers. To8to also offers offline construction supervision, and 'ZhuangXiuBao,' a product in the form of escrow funding that protects consumers' rights and ensures quality renovations.",eCommerce,China,$216.48M,N/A
"Q
Qudian",Series E,$200.00M,08/10/2015,N/A,"Qudian (NYSE: QD) is an electronics retailer from China that lets buyers pay in monthly installments. Qudian focuses on smartphones, laptops, and other consumer electronics. The business model is tailored for students and young white collar workers. Customers can choose their own down payment and the number of months over which they will make regular installments to pay for an item, up to a maximum of two years. The final price and monthly required payments are transparently shown right on the product page.",eCommerce,China,$954.67M,N/A
Vox Media,Series G,$200.00M,08/12/2015,N/A,"Vox Media builds smart brands that people love in big categories they're passionate about. The company creates products to empower the most talented voices and engage hundreds of millions of people with high quality content and experiences. Vox Media is eight distinct media brands: The Verge (Technology), Vox.com (News), SB Nation (Sports), Polygon (Gaming), Eater (Food), Racked (Shopping), Curbed (Home and Design), and Re/code (Business Tech).",Internet Software & Services,United States,$324.65M,N/A
Buzzfeed,Series F,$200.00M,08/18/2015,N/A,"BuzzFeed is a global social news and entertainment company that produces and distributes original news, entertainment, and video. BuzzFeed is redefining online advertising with its social, content-driven publishing technology and reaches a global audience of over 200M monthly unique viewers and 1.5B monthly video views.",Internet Software & Services,United States,$496.55M,N/A
iTutorGroup,Series C,$200.00M,11/18/2015,N/A,"iTutorGroup is an online education platform and English language learning institution, serving students that range from global business professionals to young children. Founded in 2004, iTutorGroup has educated students in 40 countries, and has hosted more than 10 million classroom sessions through its products, including VIPABC, TutorABC, TutorABC Jr., and TutorMing.",Internet Software & Services,China,$315.00M,N/A
Hostelworld,IPO,$190.45M,10/28/2015,N/A,"Hostelworld.com is a hostel-focused online booking platform. The flagship brand of parent company Web Reservations International (WRI), the site was launched in 1999 when a hostel owner and IT entrepreneur identified a niche in the market to introduce online bookings into hostels. Prior to 1999, no technology solution existed which enabled customers to make, and hostels to take, secure confirmed payments via the internet. The company went from strength to strength and has gone on to become the leading provider of online reservations for the budget, independent and youth travel market.",eCommerce,Ireland,,N/A
"C
Chemaowang",Series B,$188.56M,09/01/2015,N/A,Provider of second-hand car related purchase service. The company operates an online platform for customers to trade in and purchase second-hand cars. It also manages professional team to do the assessment services.,eCommerce,China,$193.45M,N/A
Chemao,Series B,$188.00M,09/02/2015,N/A,Chemao.com is a Chinese second-hand car trading platform.,eCommerce,China,$188.00M,N/A
LinkedIn Learning,Series B,$186.00M,01/14/2015,N/A,"LinkedIn Learning is an online learning company that helps anyone learn software, technology, creative and business skills to achieve personal and professional goals. Through individual, corporate, academic and government subscriptions, more than two million people have access to its video library of engaging, top-quality courses taught by recognized industry experts and filmed at the company's campus in Carpinteria, California.",Internet Software & Services,United States,$289.00M,N/A
Pinterest,Series G - II,$186.00M,05/08/2015,N/A,"Pinterest offers a productivity tool for discovering ideas for projects and interests. Users can discover and save creative ideas for cooking, travel, home improvement and more.",Internet Software & Services,United States,"$1,465.90M",N/A
Box,IPO,$175.00M,01/23/2015,N/A,"Box is a provider of tools for managing and sharing data online. The service allows users to share, access, and collaborate on files of any type from anywhere. Per the company, it has nearly 2 million users, over 1 million files served every day, and more than 1000 developers in the Box Enabled Network, and the service is used by individuals, small businesses, and Fortune 1000 companies.",Internet Software & Services,United States,$562.46M,N/A
SimpliVity,Series D,$175.00M,03/10/2015,N/A,"SimpliVity is a provider in the hyperconverged infrastructure market. SimpliVity's hyperconverged IT platform aims to deliver enterprise-class performance and availability via the cloud. The company's data virtualization architecture improves performance, protection and data efficiency, while also enabling global unified management from a single console. SimpliVity's business model is 100 percent indirect, and its solutions and professional services are available worldwide through its network of resellers and distributors.",Internet Software & Services,United States,$277.51M,N/A
"S
Shanghai Pharmaceuticals Cloud Health",Series A,$171.03M,08/18/2015,N/A,"Provider of a prescription drug e-commerce platform. The company provides an online-to-offline (O2O) sales platform of prescription drugs and health management services to patients. The core model is to build three platforms as electronic prescription, drug data, and patient data, and provide online solutions to integrate offline retail resources, provide patients with convenient prescription drug purchases, and long-term health management services. The goal is to realize service and trade integration, seamless linkage of hospital prescriptions, interactions between doctors and patients, and online-offline integration.",eCommerce,China,$351.47M,N/A
"U
Uxin",Series C,$170.00M,03/18/2015,N/A,"Uxin (NASDAQ: UXIN) is a professional online transaction service provider for used cars. The company's core business covers online used car auctions, a retail B2C retail platform for used cars, and used car financing services. Uxin is dedicated to the development of the used car industry. Using both Internet and mobile Internet technologies, the company wants to help create a Chinese used car market with greater trust and efficiency, to make it transactions between used car dealers and customers more convenient and trusting. The company's main websites are xin.com and Youxinpai.com.",eCommerce,China,$960.00M,N/A
Prosper Marketplace,Series D,$165.00M,04/08/2015,N/A,"Prosper is a peer-to-peer lending marketplace that connects people who want to invest money with people who want to borrow money. On Prosper.com, borrowers list loan requests between $2,000 and $25,000, and individual lenders invest as little as $25 in each loan listing they select. The unsecured personal loans are used by Prosper borrowers for a variety of purposes including paying down high interest rate debt and helping with small business funding.",Internet Software & Services,United States,$562.44M,N/A
bilibili,Series C,$161.43M,07/15/2015,N/A,"bilibili is a video sharing website themed around anime, manga, and game fandom based in China. Users can submit, view and add commentary subtitles on videos.",Internet Software & Services,China,$516.25M,N/A
"J
Jia.com",Series D,$160.00M,03/02/2015,N/A,Jia.com (HK: 01739) is a Shanghai-based home furnishing e-commerce platform.,eCommerce,China,$177.00M,N/A
"M
Mango TV",Series A,$160.00M,03/16/2015,N/A,Mango TV is the online video platform of Hunan Satellite TV and Hunan Broadcasting System.,Internet Software & Services,China,"$1,334.00M",N/A
Slack Technologies,Series E,$160.00M,04/16/2015,N/A,"Slack Technologies (NYSE: WORK) offers a team communication platform in one place that is instantly searchable and available wherever.On July 21, 2021, Slack Technologies was acquired by Salesforce at a valuation of $27.7B.",Internet Software & Services,United States,"$1,266.54M",N/A
AppDynamics,Series F,$158.00M,10/29/2015,N/A,"AppDynamics is a provider of Software-as-Service (SaaS) and on-premise application performance management for modern application architectures in both the cloud and the data center. The company delivers solutions for highly distributed and agile environments, helping companies monitor, troubleshoot, diagnose, and scale production applications. AppDynamics has combined its technology platform with an ""easy-to-use"" approach which enables Development and Operations teams to be up and running on AppDynamics within minutes.",Internet Software & Services,United States,$414.50M,N/A
HuJiang,Series D,$157.00M,10/29/2015,N/A,"Hujiang EdTech is an online education company that strives to make high-quality education more accessible and enjoyable through mobile learning applications, online courses, and online visual classroom platforms. Serving over 150 million users in China, Hujiang EdTech offers a wide variety of online educational programs, including international & domestic examination preparation, foreign language learning, and professional skills training. In recent years, Hujiang has strongly supported online education start-ups and actively developed an online education ecosystem to help achieve win-win situations for everyone involved. At the same time, Hujiang collaborates with traditional schools to narrow the educaiton gap and promote educational equity, using the internet to bring high-qualit...",Internet Software & Services,China,$223.29M,N/A
Teladoc Health,IPO,$156.75M,07/01/2015,N/A,"Teladoc Health is transforming how people access and experience healthcare, with a focus on high quality, lower costs, and improved outcomes around the world. The company's integrated clinical solutions are inclusive of telehealth, expert medical opinions, artificial intelligence (AI) and analytics, and licensable platform services.",Internet Software & Services,United States,$86.90M,N/A
Quikr,Series H,$150.00M,04/07/2015,N/A,"Quikr is an online classifieds company that helps people buy, sell, and rent in categories such as furniture, mobile phones, cars & bikes, services, pets, real estate, jobs, education, entertainment, matrimonial, and more. Users can post free ads and reply to ads on Quikr in cities. Quikr's classifieds websites allow users to post free ads, find what they are looking for, and address regular needs by connecting people in a faster, simpler, and easier way.",eCommerce,India,$383.65M,N/A
Funding Circle,Series E,$150.00M,04/23/2015,N/A,"Funding Circle is a direct lending platform for business loans, where investors lend directly to creditworthy small businesses. The company helps businesses to access fast, flexible, transparent and personalized finance and investors to earn stable, attractive returns.",eCommerce,United Kingdom,$639.79M,N/A
Medallia,Series E,$150.00M,07/21/2015,N/A,"Medallia (NYSE: MDLA) provides customer experience management software that enables companies to capture customer feedback everywhere the customer is (including web, social, mobile, and contact center channels), understand it in real-time, and deliver insights. It offers Net Promoter Score programs; implementation services; and Medallia Ask Now, which enables Medallia clients to add targeted questions to existing surveys, capture feedback on in-market tests, and measure the impact on customer satisfaction and business results.On October 29, 2021, Medallia was acquired by Thoma Bravo at a valuation of $6.4B.",Internet Software & Services,United States,$325.00M,N/A
"M
Mia.com",Series D,$150.00M,09/08/2015,N/A,"Beijing Huawang Online Commerce is the operator of Mia.com, formerly Miyabaobei, a maternity and baby products flash sales platform.",eCommerce,China,$231.60M,N/A
"3
36kr Group",Series D,$150.00M,10/16/2015,N/A,"36kr Group is a technology company that provides media exposure, office space, funding and financing connection, and other services for startups and small to medium companies. The group owns 36kr Media, a media platform that focuses on technology venture news, Kr Space, a shared workspace, and Jingdata, a primary market financial data provider.",Internet Software & Services,China,$170.57M,N/A
SoFi,Series E - II,$150.00M,10/27/2015,N/A,"SoFi is an online personal finance company that helps people borrow, save, spend, invest, and protect their money all from a mobile device or desktop computer. The company provides the tools for people to do everything from one app on their phone.",eCommerce,United States,"$2,694.07M",N/A
"A
Aiwujiwu",Series E,$150.00M,11/13/2015,N/A,"Aiwujiwu is the operator of iwjw.com, a China-based O2O housing info service.",Internet Software & Services,China,$305.00M,N/A
Oscar Health,Series B,$145.00M,04/20/2015,N/A,"Oscar Health (NYSE: OSCR) is a technology-driven, consumer-focused, health insurance company using technology and personalized service to give members transparency into the health care system and empower them to choose quality, affordable care. The Oscar member experience includes a personalized concierge team that helps members do everything from finding a doctor to processing a claim, a 24/7 Doctor on Call service for members on the go, and an integrated, curated network of physicians and hospitals.",Internet Software & Services,United States,"$1,632.50M",N/A
AppDirect,Series E,$140.00M,10/07/2015,N/A,"AppMarket enables organizations to quickly launch a marketplace to sell their own services, third-party services-such as Microsoft, Google, and Amazon Web Services-or build their own software ecosystem. AppMarket simplifies complex aspects of selling cloud products with automated billing, provisioning, and subscription management.",eCommerce,United States,$478.36M,N/A
Purch,Series C,$135.00M,06/02/2015,N/A,"Purch is a portfolio of digital brands and services that helps make complex buying decisions easy for 100 million consumers monthly. Its respected sites such as Top Ten Reviews, Tom's Guide, Tom's Hardware, and Live Science natively integrate commerce and content in more than 1000 product categories so consumers can make better choices before, during, and after an important purchase.",Internet Software & Services,United States,$174.00M,N/A
Blue Apron,Series D,$135.00M,06/09/2015,N/A,"Blue Apron offers a once-a-week subscription service, delivering all the fresh ingredients needed to make 3 meals in exactly the right proportions. Blue Apron has designed its service to teach users fun new recipes, save prep time and also reduce unnecessary waste.",eCommerce,United States,$256.50M,N/A
Kabbage,Series E,$135.00M,07/27/2015,N/A,"Kabbage is a financial services data and technology platform that provides fully automated funding to small businesses in minutes. Kabbage leverages data generated through business activity such as accounting data, online sales, shipping and dozens of other sources to understand performance and deliver fast, flexible funding in real time. Through its Karrot brand, Kabbage offers simple consumer loans through its automated platform.On August 17th, 2020, Kabbage was acquired by American Express. The terms of the transaction were not disclosed.",Internet Software & Services,United States,"$3,348.95M",N/A
Home24,Series D,$131.32M,06/01/2015,N/A,Home24 is an online furniture retailer offering numerous furniture and furnishings in various designs and styles.,eCommerce,Germany,$196.06M,N/A
Shopify,IPO,$130.90M,05/21/2015,N/A,"Shopify (NYSE: SHOP) is a cloud-based, multi-channel commerce platform that allows merchants to design, set up, and manage their stores across multiple sales channels, including web, mobile, social media, marketplaces, brick-and-mortar locations, and pop-up shops. Shopify offers a professional online storefront, a payment solution to accept credit cards, and a point of sale system to power retail sales. Shopify also operates Exchange Marketplace, which is a marketplace for buying and selling eCommerce businesses.",eCommerce,Canada,$122.00M,N/A
Dataminr,Series D,$130.00M,03/17/2015,N/A,"Dataminr is a data analytics company that develops technology to unlock hidden value in real-time public social media data. Servicing both buy-side and sell-side financial firms, as well as the public sector, news, and corporate risk clients, Dataminr has developed a broad suite of modular desktop and API products that transform publicly available social media streams into signals. The company's applications detect events and consumer signals by leveraging social media as a sensor network, delivering decision-making alerts to clients around the world.",Internet Software & Services,United States,"$1,044.16M",N/A
ZocDoc,Series D,$130.00M,08/20/2015,N/A,"Zocdoc is a digital healthcare marketplace for in-person or virtual care. Zocdoc provides in-network doctors, book in-person or virtual appointments, reviews from verified patients, reminders for upcoming appointments and preventive checkups.",Internet Software & Services,United States,$383.02M,N/A
PropertyGuru,Series C,$129.30M,06/09/2015,N/A,"PropertyGuru, developed by Allproperty Media, is a Singapore property website - offering a place to start real estate searches as an investor, buying for own use, or looking for a place to rent. In PropertyGuru, users can find properties for sale and rent with detailed information about each property, including maps and photos.",Internet Software & Services,Singapore,$559.22M,N/A
"J
Jinyindao",Series B,$128.83M,08/01/2015,N/A,"Jinyindao is an O2O e-commerce website that provides merchandise, internet finance, internal information, and other business commerce solutions.",eCommerce,China,$143.47M,N/A
LeSports,Seed VC,$128.80M,05/05/2015,N/A,LeSports is an online sports video streaming business.,Internet Software & Services,China,"$1,695.78M",N/A
MuleSoft,Series G,$128.00M,05/19/2015,N/A,"MuleSoft provides an integration platform for connecting SaaS and enterprise applications in the cloud and on-premise. MuleSoft's Anypoint technology eliminates costly, time-intensive point-to-point integration, enabling business agility. Delivered as a packaged integration experience, Mule iON and Mule ESB are built on open source technology for the fast, reliable integration without vendor lock-in.",Internet Software & Services,United States,$258.50M,N/A
HelloFresh,Series E,$126.00M,02/06/2015,N/A,"HelloFresh is a global provider of fresh food at home via its soft subscription model business. Every week, users can choose recipes from an ever-changing weekly menu, and the company will deliver all of the seasonal, pre-measured, locally sourced ingredients needed to prepare them.",eCommerce,Germany,$366.70M,N/A
