Companies,Investment Stage,Deal Size,Deal Date,Round Investors,Description,Industry,Country,Total Funding,All Investors
Peloton,Series F,$550.00M,08/03/2018,N/A,Peloton (NASDAQ: PTON) offers NYC studio cycling classes and on-demand workouts online that utilize its Peloton bike. The company combines live-streaming boutique studio cycling classes with a touchscreen-equipped indoor bike to bring workouts into the homes of riders all over the world.,Internet Software & Services,United States,"$1,002.74M",N/A
DoorDash,Series D,$535.00M,03/01/2018,N/A,"DoorDash (NYSE: DASH) is an on-demand delivery service that connects customers with local businesses. Through the DoorDash marketplace, people can purchase goods from local merchants and have them delivered in less than 45 minutes - thanks to its logistics technology.",eCommerce,United States,"$2,471.72M",N/A
VIPKid,Series D - II,$500.00M,06/21/2018,N/A,"VIPKid is an online education platform that connects Chinese children to one-on-one video teaching sessions with teachers based in North America, offering a real-time online English immersion learning experience.",Internet Software & Services,China,$975.49M,N/A
iFood,Series G,$500.00M,11/13/2018,N/A,"iFood is a Brazilian online food delivery platform that allows clients to place orders both online and via apps for mobile devices, available in the iOS, Android and Windows Phone operating systems.",eCommerce,Brazil,$591.86M,N/A
"Z
Zuoyebang",Series D - II,$500.00M,11/01/2018,N/A,"Zuoyebang is an online education company that provides study platforms and services targeting K-12 students. The platform is a comprehensive study tool for school work search, efficient practice, learning, and discussion.",Internet Software & Services,China,"$3,435.00M",N/A
bilibili,IPO,$483.00M,03/28/2018,N/A,"bilibili is a video sharing website themed around anime, manga, and game fandom based in China. Users can submit, view and add commentary subtitles on videos.",Internet Software & Services,China,$516.25M,N/A
Snowflake Computing,Series F,$461.40M,10/11/2018,N/A,Snowflake Computing (NYSE: SNOW) provides a cloud data warehouse enabling enterprises to access structured and semi-structured data.,Internet Software & Services,United States,"$1,386.79M",N/A
"H
Huya",Series B,$460.00M,03/08/2018,N/A,"Huya (NYSE: HUYA) is a live game broadcasting platform that provides users with high-definition, smooth, and rich interactive live streaming services based on its advanced video technology. Users can apply to be a presenter on Huya and host their own live streaming shows. Other users can then choose to watch live streaming shows based on their interests as well as send virtual gifts to presenters.",Internet Software & Services,China,$535.00M,N/A
"T
Tuhu",Series E,$450.00M,09/15/2018,N/A,"Tuhu is an O2O platform that focuses on tire, oil change, and car maintenance services. Customers can make purchases online through the company's website or mobile app and book car service appointments.",eCommerce,China,$580.45M,N/A
Paytm Mall,Series B,$445.16M,04/02/2018,N/A,Paytm Mall is an Indian e-commerce marketplace offering a wide variety of products delivered to your door.,eCommerce,India,$810.16M,N/A
Amigo Loans,IPO,$434.00M,06/29/2018,N/A,"Amigo Loans has pioneered the guarantor loan concept in the UK, which is a personal loan for which interest and principal payments are guaranteed by a second individual, typically a family member or friend with a stronger credit profile than that of the borrower. The company offers a single, simple product, which is a guarantor loan under which individuals are currently able to borrow between £500 and £7,500 over a term of between 12 months and 60 months at a standard fixed annual percentage rate of 49.9% (which equates to a flat interest rate of 41.16%) with no fees, hidden charges or redemption penalties.",Internet Software & Services,United Kingdom,,N/A
Slack Technologies,Series H,$427.00M,08/21/2018,N/A,"Slack Technologies (NYSE: WORK) offers a team communication platform in one place that is instantly searchable and available wherever.On July 21, 2021, Slack Technologies was acquired by Salesforce at a valuation of $27.7B.",Internet Software & Services,United States,"$1,266.54M",N/A
"U
Uxin",IPO,$400.00M,06/27/2018,N/A,"Uxin (NASDAQ: UXIN) is a professional online transaction service provider for used cars. The company's core business covers online used car auctions, a retail B2C retail platform for used cars, and used car financing services. Uxin is dedicated to the development of the used car industry. Using both Internet and mobile Internet technologies, the company wants to help create a Chinese used car market with greater trust and efficiency, to make it transactions between used car dealers and customers more convenient and trusting. The company's main websites are xin.com and Youxinpai.com.",eCommerce,China,$960.00M,N/A
Compass,Series F,$400.00M,09/27/2018,N/A,"Compass (NYSE: COMP) is a technology-driven real estate platform that aims to make the process of buying, selling, and renting a home more intelligent. Compass offers a clear and easy way for property owners to list, market and sell properties, as well as follow through on the many pieces of complex transactional data that occur before and after the deal is made.",Internet Software & Services,United States,"$1,513.00M",N/A
BYJU's,Series E - IV,$400.00M,12/11/2018,N/A,"BYJU's offers a K-12 learning app with learning programs for students in classes 4-12 (K-12) and preparation for competitive exams such as JEE, NEET, CAT, IAS, GRE, and GMAT.",Internet Software & Services,India,"$5,182.78M",N/A
Funding Circle,IPO,$392.00M,09/28/2018,N/A,"Funding Circle is a direct lending platform for business loans, where investors lend directly to creditworthy small businesses. The company helps businesses to access fast, flexible, transparent and personalized finance and investors to earn stable, attractive returns.",eCommerce,United Kingdom,$639.79M,N/A
Dataminr,Series E,$391.57M,06/04/2018,N/A,"Dataminr is a data analytics company that develops technology to unlock hidden value in real-time public social media data. Servicing both buy-side and sell-side financial firms, as well as the public sector, news, and corporate risk clients, Dataminr has developed a broad suite of modular desktop and API products that transform publicly available social media streams into signals. The company's applications detect events and consumer signals by leveraging social media as a sensor network, delivering decision-making alerts to clients around the world.",Internet Software & Services,United States,"$1,044.16M",N/A
SolarWinds,IPO - II,$375.00M,10/19/2018,N/A,"SolarWinds (NYSE:SWI) is a company that develops software for businesses to help manage their networks, systems, and information technology infrastructure.",Internet Software & Services,United States,$207.50M,N/A
"L
Liepin",IPO,$370.12M,06/29/2018,N/A,"Liepin (HK: 06100) is a Chinese internet recruitment company offering premium job services. The company charges fees to enterprises based on their recruitment needs, required level of service, recruitment time frame, and service content, providing them with professional, customized, and high-end recruitment assistance.",Internet Software & Services,China,$170.00M,N/A
OutSystems,Series D,$360.00M,06/05/2018,N/A,"OutSystems develops and markets a solution for application management and development that accelerates applications' delivery and fosters their continuous adaptation to new business requirements. The OutSystems Platform lets users create, deploy, change, and manage custom mobile and web applications that are delivered across all devices.",Internet Software & Services,United States,$572.01M,N/A
"C
Cgtz",Series D,$359.19M,06/04/2018,N/A,"Cgtz is a business-to-customer (B2C) debt investment portal, providing various investments products for the individual and small and medium enterprises (SMEs).",Internet Software & Services,China,$535.86M,N/A
"Z
Zuoyebang",Series D,$350.00M,07/18/2018,N/A,"Zuoyebang is an online education company that provides study platforms and services targeting K-12 students. The platform is a comprehensive study tool for school work search, efficient practice, learning, and discussion.",Internet Software & Services,China,"$3,435.00M",N/A
"O
OpenDoor",Series E,$325.00M,06/13/2018,N/A,"Opendoor is an online real estate marketplace that makes it possible to sell a home online in minutes. Instead of dealing with the hassle of listing and showings, upfront costs and repairs, negotiating with multiple parties, and the risk of the home not closing, homeowners can visit Opendoor.com, receive a guaranteed Opendoor offer and complete their sale in a few clicks.",eCommerce,United States,"$3,479.95M",N/A
"G
G7 Networks",Series F,$320.00M,12/10/2018,N/A,"G7 Networks is a logistics big data company providing real-time tracking, analysis, and management of trucking fleets.",Internet Software & Services,China,$510.00M,N/A
Pluralsight,IPO,$310.50M,05/17/2018,N/A,"Pluralsight is an enterprise technology learning platform that delivers a unified, end-to-end learning experience for businesses across the globe. Through a subscription service, Pluralsight provides members with on-demand access to a digital ecosystem of learning tools, including adaptive skill tests, directed learning paths, expert-authored courses, interactive labs and live mentoring.",Internet Software & Services,United States,$238.67M,N/A
"R
RenRenChe",Series E,$300.00M,04/26/2018,N/A,"Shanyi Shanmei Technology, dba RenRenChe, is a Beijing-based used-car online transaction platform.",eCommerce,China,$760.00M,N/A
About You,Series A,$300.00M,07/19/2018,N/A,"About You is an e-commerce retailer for fashion, shoes and more. The company provides its growing customer base with pure inspiration, as well as all the latest fashion trends from a broad range of more than 500 brands and with over 60.000 products. In order to deliver a permanent fashion inspiration, the company's online fashion-shop aboutyou.de features an app-store and a developer center, which is accessible for everyone.",eCommerce,Germany,$300.00M,N/A
"X
XiaoZhu",Series F,$300.00M,10/10/2018,N/A,XiaoZhu is a Beijing-based short-term lodging sharing platform. It provides lodging sharing services in over 130 cities in China.,eCommerce,China,$500.00M,N/A
Coinbase,Series E,$300.00M,10/30/2018,N/A,"Coinbase (NASDAQ: COIN) is a bitcoin wallet and platform where merchants and consumers can transact with digital currencies like bitcoin, ethereum, and litecoin.",Internet Software & Services,United States,$538.67M,N/A
Pango,Series D,$295.00M,09/05/2018,N/A,"Pango provides free and secure Internet access to people in need of a secure browsing solution, Internet privacy, and freedom online. AnchorFree does this through Hotspot Shield, a privacy, security and Web access tool. Hotspot Shield ensures safe, private Web browsing and disrupts censorship of commonly blocked content such as breaking news, social networking and search engines.On July 7th, 2020 Pango was acquired by Aura. Terms of the transaction were not disclosed.",Internet Software & Services,United States,$358.00M,N/A
Zhihu,Series E,$270.00M,08/08/2018,N/A,Zhihu (NYSE: ZH) is a Q&A platform that lets users ask or answer any question and tries to find answers to these questions by leveraging a voting mechanism.,Internet Software & Services,China,$936.30M,N/A
Snowflake Computing,Series E,$264.49M,01/25/2018,N/A,Snowflake Computing (NYSE: SNOW) provides a cloud data warehouse enabling enterprises to access structured and semi-structured data.,Internet Software & Services,United States,"$1,386.79M",N/A
Anaplan,IPO,$263.50M,10/12/2018,N/A,Anaplan (NYSE:TNPL) is a cloud-based business planning and performance management platform based on a single hub where business users can create and use models.,Internet Software & Services,United States,$299.90M,N/A
Elastic,IPO,$252.00M,10/05/2018,N/A,"Elastic is a search engine based on Lucene. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents.",Internet Software & Services,Netherlands,$104.00M,N/A
"1
17zuoye",Series E,$250.00M,03/07/2018,N/A,17zuoye (NASDAQ: YQ) focuses on providing services and products for primary mathematics and English learning for students K-12.,Internet Software & Services,China,$385.00M,N/A
Tradeshift,Series E,$250.00M,05/30/2018,N/A,"Tradeshift is a flexible, business commerce platform to digitally connect companies through cloud-based, collaborative accounts payable and procurement automation. Companies can buy, sell, and tailor B2B solutions to meet individual needs.",Internet Software & Services,United States,$902.50M,N/A
Cohesity,Series D,$250.00M,06/11/2018,N/A,"Cohesity enables companies of all sizes to bring order to their data chaos. Its intelligent data platform converges secondary storage workflows to transform disparate silos of data into business insight. Cohesity takes aim at the inefficient, fractured landscape of secondary storage for data protection, development, and analytics by applying a distributed, web-scale architecture to break down these data silos. Its solution converges all secondary storage workflows onto an intelligent, scalable data platform so customers can store and protect data, use it efficiently, and learn from it instantly.",Internet Software & Services,United States,$660.00M,N/A
Butterfly Network,Series D,$250.00M,07/13/2018,N/A,"Butterfly Network operates within diagnostic and therapeutic imaging with devices, deep learning, and the cloud. Butterfly Network operates at the intersection of engineering and medicine by bringing together computer science, physics, mechanical engineering, electrical engineering, and medicine.",Internet Software & Services,United States,$353.50M,N/A
DoorDash,Series E,$250.00M,08/16/2018,N/A,"DoorDash (NYSE: DASH) is an on-demand delivery service that connects customers with local businesses. Through the DoorDash marketplace, people can purchase goods from local merchants and have them delivered in less than 45 minutes - thanks to its logistics technology.",eCommerce,United States,"$2,471.72M",N/A
Plaid,Series C,$250.00M,12/11/2018,N/A,Plaid is a provider of API that power developer of financial services applications and help them connect with user bank accounts.,Internet Software & Services,United States,$734.80M,N/A
Bungalo,Seed,$250.00M,09/18/2018,N/A,Bungalo offers buyers the ability to seek out and then finance a home online.,Internet Software & Services,United States,$250.00M,N/A
Stripe,Series E,$245.00M,09/26/2018,N/A,"Stripe is a technology company that builds economic infrastructure for the internet. The company offers an online-based, payment processing platform that gives online merchants the ability to securely accept credit card payments through the use of custom-built forms.",Internet Software & Services,United States,"$2,900.94M",N/A
BigBasket,Series E,$240.00M,02/01/2018,N/A,"BigBasket is a hyperlocal online grocery delivery platform based in Bengaluru, India.On February 16th, 2021, Tata Group acquired a majority stake in BigBasket at a valuation at $1926.47M",eCommerce,India,$770.98M,N/A
Brandless,Series C,$240.00M,07/31/2018,N/A,"Brandless, formerly Dhosi, operates as a home and personal care commerce platform that retails eco-friendly products.",eCommerce,United States,$410.50M,N/A
"H
Hyperchain",Series B,$234.02M,05/29/2018,N/A,"Hyperchain is an enterprise blockchain and distributed ledger technology company. Features of Hyperchain include consensus algorithm, dynamic membership management and privilege control, dynamic data recovery mechanism, multi-level encryption mechanism, smart contract engine, platform monitoring and more.",Internet Software & Services,China,$249.00M,N/A
"C
Carzone",Series D,$232.62M,08/26/2018,N/A,"Carzone is an eCommerce platform for automotive aftermarket spare parts, including braking components, filters, ignition systems, and wipers, for automobile repair and maintenance stores.",eCommerce,China,$946.49M,N/A
Eventbrite,IPO,$230.00M,09/20/2018,N/A,"Eventbrite is a provider of online event management and ticketing services. The company has built a broad technology platform to enable creators to solve many challenges associated with creating live experiences. Its platform integrates components needed to plan, promote and produce live events, thereby allowing creators to reduce friction and costs, increase reach and drive ticket sales. By reducing risk and complexity, Eventbrite allows creators to focus their energy on producing compelling and successful events.",eCommerce,United States,$224.16M,N/A
"M
Moviebook",Series D,$228.29M,08/07/2018,N/A,Moviebook is a video recognition and online video technology company.,Internet Software & Services,China,$363.84M,N/A
MediaMath,Series D,$225.00M,07/10/2018,N/A,"MediaMath helps marketers in different countries deliver relevant and meaningful ads across channels, formats and devices. Its technology determines in real-time how to support marketers' goals so they deliver better outcomes for their businesses and personalized experiences for their customers.",Internet Software & Services,United States,$613.16M,N/A
"K
Kingsoft Cloud Storage",Series D - II,$220.00M,01/04/2018,N/A,"Kingsoft Cloud Storage (NASDAQ: KC), a subsidiary of Kingsoft Group, is primarily engaged in the business of a cloud service platform, commercial cloud storage, and personal cloud storage.",Internet Software & Services,China,$966.00M,N/A
"L
Linklogis",Series C,$220.00M,10/15/2018,N/A,Linklogis (09959.HK) provides micro and small-sized enterprises with supply chain financing. The company's platform provides loans directly to these enterprises based on its big data risk control system and helps connect companies with traditional financial institutions to obtain loans.,Internet Software & Services,China,$263.00M,N/A
Babytree,IPO,$218.00M,11/27/2018,N/A,"Babytree (HKG: 1761) is the operator of an online parenting platform, Babytree.com, where new and prospective parents from pregnancy to pre-K gather to acquire parenting knowledge, share parenting tips, and document baby's growth via photos, videos and diaries.",Internet Software & Services,China,$731.50M,N/A
Swiggy,Series G,$210.00M,06/21/2018,N/A,Swiggy is a Bangalore-based food ordering app. The company partners with restaurants to offer users food ordering and delivery services. The company has its own fleet of delivery personnel who pick-up orders from restaurants and deliver it to customers. The on field team is loaded with a smart phone app that has a routing algorithm which facilitates timely delivery.,eCommerce,India,"$2,871.00M",N/A
"H
Huasheng Haoche",Series B,$210.00M,10/24/2018,N/A,"Huasheng Haoche (花生好车) is an automotive sales and services platform, providing customers with a new car purchase & leasing platform as well as comprehensive pre-sales and after-sales services.",eCommerce,China,$360.60M,N/A
Minted,Series E,$208.00M,12/13/2018,N/A,"Minted is a community-sourced, online store offering modern custom stationery and invitations. The company uses fine paper stock, rich inks, and crisp printing methods offering an assortment of holiday cards, Christmas cards, and wedding invitations sourced through a community of indie designers.",eCommerce,United States,$297.37M,N/A
"K
Kingsoft Cloud Storage",Series D - III,$200.00M,01/29/2018,N/A,"Kingsoft Cloud Storage (NASDAQ: KC), a subsidiary of Kingsoft Group, is primarily engaged in the business of a cloud service platform, commercial cloud storage, and personal cloud storage.",Internet Software & Services,China,$966.00M,N/A
"V
V Linker",Series A,$200.00M,04/27/2018,N/A,"V Linker is an operator of long-term rental apartments and communal living communities for young people in urban areas. The company's modern, high-quality, and convenient living facilities include convenience stores, gyms, parking lots, public events, and more.",eCommerce,China,$200.00M,N/A
"Y
YITU Technology",Series C - III,$200.00M,06/12/2018,N/A,"YITU Technology works in the Artificial Intelligent (AI) fields such as computer vision, speech recognition, natural language processing, intelligent decision-making and AI chips. Leveraging AI technology, YITU is empowering diverse industries. It provides advanced technologies and products in several sectors including intelligent city, smart finance, intelligent healthcare, smart retail, AI chips and AI pharmaceuticals.",Internet Software & Services,China,$385.12M,N/A
CrowdStrike,Series E,$200.00M,06/19/2018,N/A,"CrowdStrike (NASDAQ: CRWD) provides cloud-delivered endpoint protection. Leveraging artificial intelligence (AI), the CrowdStrike Falcon platform offers instant visibility and protection across the enterprise and prevents attacks on endpoints on or off the network. CrowdStrike Falcon deploys in minutes to deliver intelligence and real-time protection. Its cloud infrastructure and single-agent architecture take away complexity and add scalability, manageability, and speed.",Internet Software & Services,United States,$481.00M,N/A
Jama Software,Series D,$200.00M,06/26/2018,N/A,"Jama Software provides a platform for requirements, risk, and test management. With Jama Connect and industry-focused services, teams building complex products, systems, and software improve cycle times, increase quality, reduce rework, and minimize effort proving compliance.",Internet Software & Services,United States,$233.00M,N/A
Tuya Smart,Series C,$200.00M,07/24/2018,N/A,"Tuya Smart (NASDAQ: TUYA) is a one-stop IoT solution provider for all device manufacturers. Its platform enables fast, agile app development, allowing smart device manufacturers to bring their product to market quickly and at competitive prices. Tuya Smart products are classified into four main home appliance categories: major appliance, small appliance, consumer electronics, and lighting. The company has covered all the home appliances on the worldwide market, including lights, electrical plugs, air conditioners, air purifiers and water purifiers, in addition to 36 other industry categories.",Internet Software & Services,China,$200.16M,N/A
Klook,Series D,$200.00M,08/07/2018,N/A,"Klook focuses on selling travel experiences and packages in Southeast Asian tourist hotspots. It does ticketing for some of the main attractions in each city as well as provides unique offerings, like a supercar driving experience on Singapore's F1 track or a lesson in making kimchi in Seoul.",eCommerce,Hong Kong,$721.19M,N/A
"Y
Yijiupi",Series D,$200.00M,09/20/2018,N/A,"Yijiupi, founded in 2014, is a B2B online liquor retailer that supplies wines and spirits to convenience stores and offline beverage retailers in Chinese cities.",eCommerce,China,$547.27M,N/A
Domo,IPO,$193.20M,06/29/2018,N/A,"Domo is a fully mobile, cloud-based operating system that unifies every component of a business and delivers it all on the user's phone.",Internet Software & Services,United States,$698.16M,N/A
Zscaler,IPO,$192.00M,03/16/2018,N/A,"Zscaler (NASDAQ:ZS) is a cloud-based information security company that provides internet security, web security, firewalls, sandboxing, SSL inspection, antivirus, vulnerability management and granular control of user activity in cloud computing, mobile, and internet of things environments.",Internet Software & Services,United States,$148.00M,N/A
"A
Alibaba Sports",Series A,$190.70M,04/03/2018,N/A,"Alibaba Sports (阿里体育), the sports business of Alibaba (阿里巴巴), integrates eCommerce, media, marketing, video, home entertainment, cloud computing, and other Internet-enabled technologies to form a sports platform that participates in different aspects of the professional sports industry, including sports copyrights, sports media, events, ticketing, and more.",eCommerce,China,$190.70M,N/A
Upwork,IPO,$187.20M,10/03/2018,N/A,Upwork is a freelance talent marketplace that enables businesses with more access to quality talent.,eCommerce,United States,$75.00M,N/A
Deezer,Series F,$185.00M,08/02/2018,N/A,"Deezer, owned and operated by Blogmusik, allows users to listen online to specific albums and songs and share their playlists and musical tastes with the Deezer community.",Internet Software & Services,France,$481.80M,N/A
"C
CECport",Series B,$184.83M,01/04/2018,N/A,"CECport is a distributor of electronic components, including integrated circuits, power management products, discrete devices, microprocessors and microcontrollers, special products, test and development tools, connectors & interconnect, passive devices, optoelectronic devices, memorizer, and mechanical and electrical products.",eCommerce,China,$184.83M,N/A
"Q
Qi An Xin",Series A - III,$184.40M,11/28/2018,N/A,"Qi An Xin (688561.SH) provides network security technology, products, and services for government, military, enterprise, education, finance, and other institutions and organizations.",Internet Software & Services,China,$860.88M,N/A
Bakkt,Series A,$182.50M,12/31/2018,N/A,"Bakkt (NASDAQ: BKKT) is designed to enable consumers and institutions to buy, sell, store and spend digital assets. Bakkt develops open technology to connect existing market and merchant infrastructure to the blockchain.",Internet Software & Services,United States,$482.50M,N/A
"H
Huya",IPO,$180.00M,05/11/2018,N/A,"Huya (NYSE: HUYA) is a live game broadcasting platform that provides users with high-definition, smooth, and rich interactive live streaming services based on its advanced video technology. Users can apply to be a presenter on Huya and host their own live streaming shows. Other users can then choose to watch live streaming shows based on their interests as well as send virtual gifts to presenters.",Internet Software & Services,China,$535.00M,N/A
