Companies,Investment Stage,Deal Size,Deal Date,Round Investors,Description,Industry,Country,Total Funding,All Investors
"S
Suning Financial Services",Series B,$817.00M,12/26/2017,N/A,"Suning Financial Services, part of Suning Holdings, is an O2O financial service company. Suning Financial Services has expanded into payment accounts, supply chain finance, consumer loans, investment and wealth management, crowd funding, insurance and pre-paid cards.",Internet Software & Services,China,"$3,118.65M",N/A
"N
Netwealth Group",IPO,$679.25M,11/21/2017,N/A,Netwealth Group provides an online platform that gives users access to financial portfolios anywhere.,Internet Software & Services,Australia,,N/A
"S
Sogou",IPO,$585.00M,11/09/2017,N/A,"Sogou operates an interactive Chinese search engine, committed to Chinese Internet information. The company's products and services include the Sogou Input Method, a Chinese language input software for both mobile and PC.",Internet Software & Services,China,$487.00M,N/A
"Y
Yixin Group",Series D,$579.50M,05/11/2017,N/A,"Yixin (易鑫集团) (HKG :2858) is the developer and operator of an online retail automobile transaction platform that connects Chinese consumers to a network of automakers, auto dealers, financers, insurance companies, and aftermarket service providers.",Internet Software & Services,China,"$3,240.80M",N/A
Sea,Series E,$550.00M,05/08/2017,N/A,"Sea operates an online gaming platform, an eCommerce platform, and a digital financial services platform. Garena, a digital entertainment platform, provides mobile and PC online games across Greater Southeast Asia. Shopee is a mobile-centric eCommerce marketplace that connects buyers and sellers to facilitate a fast and seamless shopping experience for all. AirPay, a digital financial services platform, provides e-wallet services to consumers through the AirPay App and to small businesses through the AirPay counter application.",Internet Software & Services,Singapore,$722.00M,N/A
"D
Delivery Hero",IPO,$530.93M,06/30/2017,N/A,"Delivery Hero is a worldwide network of online food ordering and delivery sites. Restaurants are connected to its service across Sweden, Finland, Poland, Austria, Germany, UK, Denmark, Russia, Australia, Switzerland, South Korea, China, Mexico, and India.",eCommerce,Germany,"$1,753.38M",N/A
"U
Uxin",Series D,$500.00M,01/17/2017,N/A,"Uxin (NASDAQ: UXIN) is a professional online transaction service provider for used cars. The company's core business covers online used car auctions, a retail B2C retail platform for used cars, and used car financing services. Uxin is dedicated to the development of the used car industry. Using both Internet and mobile Internet technologies, the company wants to help create a Chinese used car market with greater trust and efficiency, to make it transactions between used car dealers and customers more convenient and trusting. The company's main websites are xin.com and Youxinpai.com.",eCommerce,China,$960.00M,N/A
SoFi,Series F,$500.00M,02/24/2017,N/A,"SoFi is an online personal finance company that helps people borrow, save, spend, invest, and protect their money all from a mobile device or desktop computer. The company provides the tools for people to do everything from one app on their phone.",eCommerce,United States,"$2,694.07M",N/A
"W
Wish",Series F,$500.00M,05/16/2017,N/A,"Wish (NASDAQ: WISH) is an e-commerce platform putting a digital shopping mall of affordable goods directly in the pockets of consumers worldwide. Wish employs big data principles, machine learning, and search technologies to create a highly-visual and personalized browsing experience for each user.",eCommerce,United States,"$1,768.70M",N/A
Laureate Education,IPO,$490.00M,02/01/2017,N/A,"Laureate Education (NASDAQ: LAUR) is a global network of degree-granting higher education institutions, with more than one million students enrolled across institutions in different countries at campuses and online. Laureate offers career-oriented undergraduate, graduate and specialized degree programs in a wide range of academic disciplines including architecture, business, design, education, engineering, health sciences, medicine, law, and hospitality management.",Internet Software & Services,United States,$650.00M,N/A
"B
Best Logistics Technologies",IPO,$450.00M,09/20/2017,N/A,"Best Logistics Technologies (NYSE: BSTI) is a smart supply chain company developing a platform that enables retail by providing technology-enabled integrated solutions. Its solutions encompass supply chain management, express delivery, freight, merchandise sourcing, cross-border supply chain, last-mile, financial and value-added services.",Internet Software & Services,China,$811.49M,N/A
Compass,Series E - II,$450.00M,12/07/2017,N/A,"Compass (NYSE: COMP) is a technology-driven real estate platform that aims to make the process of buying, selling, and renting a home more intelligent. Compass offers a clear and easy way for property owners to list, market and sell properties, as well as follow through on the many pieces of complex transactional data that occur before and after the deal is made.",Internet Software & Services,United States,"$1,513.00M",N/A
Airbnb,Series F - II,$447.85M,03/09/2017,N/A,"Airbnb (NASDAQ: ABNB) is a community marketplace for people to list, discover, and book accommodations around the world online or from a mobile phone. Whether an apartment for a night, a castle for a week, or a villa for a month, Airbnb connects people to travel experiences, at any price point.",eCommerce,United States,"$6,625.65M",N/A
"L
Lianjia",Series D,$440.00M,04/20/2017,N/A,Lianjia offers an online platform for rental and second-hand real estate transactions.,Internet Software & Services,China,"$1,701.26M",N/A
"C
Chehaoduo",Series B,$400.00M,06/06/2017,N/A,"Chehaoduo is the operator of Guazi, an online C2C used-car trading platform, and Maodou, a new car eCommerce platform.",eCommerce,China,"$4,304.03M",N/A
"M
Meituan Dianping",Series E,$400.00M,06/23/2017,N/A,"Houzz is an online platform for home remodeling and design. Houzz connects homeowners, home design enthusiasts and home improvement professionals across the country and around the world.",eCommerce,United States,$613.60M,N/A
Deliveroo,Series F,$385.00M,09/25/2017,N/A,Deliveroo is an end-to-end food delivery service that brings local restaurant food to homes and offices through a proprietary technology and logistics platform.,eCommerce,United Kingdom,"$1,712.86M",N/A
"L
Lianjia",Series C,$375.00M,01/10/2017,N/A,Lianjia offers an online platform for rental and second-hand real estate transactions.,Internet Software & Services,China,"$1,701.26M",N/A
HelloFresh,IPO,$371.25M,11/02/2017,N/A,"HelloFresh is a global provider of fresh food at home via its soft subscription model business. Every week, users can choose recipes from an ever-changing weekly menu, and the company will deliver all of the seasonal, pre-measured, locally sourced ingredients needed to prepare them.",eCommerce,Germany,$366.70M,N/A
LeSports,Series B,$366.98M,05/26/2017,N/A,LeSports is an online sports video streaming business.,Internet Software & Services,China,"$1,695.78M",N/A
Traveloka,Series B - II,$350.00M,07/27/2017,N/A,Traveloka is an online travel aggregator based in Indonesia. The company organizes travel-related information and help users navigate through a number of options and get value with ease.,Internet Software & Services,Indonesia,"$1,170.00M",N/A
"S
SouChe Holdings",Series E,$335.00M,11/01/2017,N/A,"SouChe Holdings is a C2C platform allowing used-car sellers to dictate their own prices, with revenue generated from commissions charged on individual transactions. Its SaaS products, which include DaFengChe, CheNiu and Chehang168, connect used car dealers to small and large new car dealers in China.",eCommerce,China,"$1,282.21M",N/A
Decolar,IPO,$332.01M,09/20/2017,N/A,Decolar is an air and hotel online booking service in Latin America. The business operates across over a dozen countries through its branded websites Despegar.com in greater Latin America and Decolar.com in Brazil.,eCommerce,Argentina,$341.68M,N/A
Peloton,Series E,$325.00M,05/24/2017,N/A,Peloton (NASDAQ: PTON) offers NYC studio cycling classes and on-demand workouts online that utilize its Peloton bike. The company combines live-streaming boutique studio cycling classes with a touchscreen-equipped indoor bike to bring workouts into the homes of riders all over the world.,Internet Software & Services,United States,"$1,002.74M",N/A
AvidXchange,Series F,$300.00M,06/08/2017,N/A,AvidXchange (NASDAQ: AVDX) is an accounts payable (AP) and payment automation solutions provider that automates invoice and payment processes for mid-market businesses.,Internet Software & Services,United States,"$1,160.11M",N/A
Blue Apron,IPO,$300.00M,06/29/2017,N/A,"Blue Apron offers a once-a-week subscription service, delivering all the fresh ingredients needed to make 3 meals in exactly the right proportions. Blue Apron has designed its service to teach users fun new recipes, save prep time and also reduce unnecessary waste.",eCommerce,United States,$256.50M,N/A
"Y
Yiguo",Series D,$300.00M,08/03/2017,N/A,Yiguo (易果生鲜) is a Chinese online fresh food eCommerce platform.,eCommerce,China,$800.00M,N/A
TuJia,Series E,$300.00M,10/10/2017,N/A,Tujia.com is an online vacation rental services provider in China targeting middle to high-end Chinese travelers. Tujia manages the properties listed on their website and works with Chinese real estate developers to rent out unsold inventory.,eCommerce,China,$763.70M,N/A
"K
Kingsoft Cloud Storage",Series D,$300.00M,12/12/2017,N/A,"Kingsoft Cloud Storage (NASDAQ: KC), a subsidiary of Kingsoft Group, is primarily engaged in the business of a cloud service platform, commercial cloud storage, and personal cloud storage.",Internet Software & Services,China,$966.00M,N/A
"T
Tuandaiwang",Series D,$292.00M,05/30/2017,N/A,"Tuandai Network Technology, dba Tuandaiwang Service, is the operator of the P2P online lending site Tuandai.com.",eCommerce,China,$396.06M,N/A
Wise,Series E,$280.00M,11/02/2017,N/A,"Wise is a cross-border payments network that serves both personal and business customers. In addition to personal and business accounts, they also offer the Wise Platform, which other fintech companies like Monzo, GoCardless and Xero use to serve their own customers.",Internet Software & Services,United Kingdom,$680.33M,N/A
OYO Rooms,Series D,$250.00M,04/24/2017,N/A,"OYO Rooms operates a virtual hospitality brand in India by aggregating hotels/guesthouses in the economy segment, making inventory discoverable and bookable online, and providing a standardized and trusted experience to travelers. By running a managed marketplace of properties under its own brand, Oyo matches the supply of economy rooms in India with online/mobile demand.",eCommerce,India,"$3,113.68M",N/A
Kabbage,Series F,$250.00M,08/03/2017,N/A,"Kabbage is a financial services data and technology platform that provides fully automated funding to small businesses in minutes. Kabbage leverages data generated through business activity such as accounting data, online sales, shipping and dozens of other sources to understand performance and deliver fast, flexible funding in real time. Through its Karrot brand, Kabbage offers simple consumer loans through its automated platform.On August 17th, 2020, Kabbage was acquired by American Express. The terms of the transaction were not disclosed.",Internet Software & Services,United States,"$3,348.95M",N/A
Slack Technologies,Series G,$250.00M,09/18/2017,N/A,"Slack Technologies (NYSE: WORK) offers a team communication platform in one place that is instantly searchable and available wherever.On July 21, 2021, Slack Technologies was acquired by Salesforce at a valuation of $27.7B.",Internet Software & Services,United States,"$1,266.54M",N/A
"W
Wish",Series G,$250.00M,09/15/2017,N/A,"Wish (NASDAQ: WISH) is an e-commerce platform putting a digital shopping mall of affordable goods directly in the pockets of consumers worldwide. Wish employs big data principles, machine learning, and search technologies to create a highly-visual and personalized browsing experience for each user.",eCommerce,United States,"$1,768.70M",N/A
"S
SailPoint Technologies",IPO,$240.00M,11/17/2017,N/A,"SailPoint is an independent identity and access management (IAM) provider and helps the world's largest organizations securely and effectively deliver and manage user access from any device to data and applications residing in the datacenter, on mobile devices, and in the cloud. The company's innovative product portfolio offers customers an integrated set of core services including identity governance, provisioning, and access management delivered on-premises or from the cloud (IAM-as-a-service).",Internet Software & Services,United States,$26.08M,N/A
Carvana,IPO,$225.00M,04/28/2017,N/A,"Carvana (NYSE: CVNA) offers automated, coin-operated car vending machines, which allow people to shop for, finance, purchase, and trade-in a car entirely online, while receiving next-day vehicle delivery or pick-up. Cars come with an accident-free guarantee, undergo a 150-point inspection, and come with a 100-day/4,189 mile bumper-to-bumper warranty, as well as a 7-Day Return Policy. The company already delivers to customers nationwide and offers delivery as soon as the next-day to the following markets: Atlanta, Austin, Birmingham, Charlotte, Dallas, Houston, Jacksonville, Miami, Nashville, Orlando, Raleigh, Richmond, San Antonio, Tampa, and Washington, D.C.",eCommerce,United States,$935.00M,N/A
Cloudera,IPO,$225.00M,04/28/2017,N/A,"Cloudera provides enterprise data management solutions that offer a unified platform for data, an enterprise data hub built on Apache Hadoop. It provides enterprises one place to store, process, and analyze all their data, empowering them to extend the value of existing investments while enabling fundamental new ways to derive value from their data.",Internet Software & Services,United States,"$1,041.00M",N/A
MuleSoft,IPO,$221.00M,03/17/2017,N/A,"MuleSoft provides an integration platform for connecting SaaS and enterprise applications in the cloud and on-premise. MuleSoft's Anypoint technology eliminates costly, time-intensive point-to-point integration, enabling business agility. Delivered as a packaged integration experience, Mule iON and Mule ESB are built on open source technology for the fast, reliable integration without vendor lock-in.",Internet Software & Services,United States,$258.50M,N/A
PPDai Group,IPO,$221.00M,11/10/2017,N/A,"PPDai.com (NYSE: PPDF) is an online consumer finance marketplace in China with strong brand recognition. Launched in 2007, the Company is the first online consumer finance marketplace in China connecting borrowers and investors. As a pioneer in China's online consumer finance marketplace, the Company benefits from both its early-mover advantages and the invaluable data and experience accumulated throughout multiple complete loan lifecycles. The Company's platform, empowered by its proprietary, cutting-edge technologies, features a highly automated loan transaction process, which enables a superior user experience, as evidenced by the rapid growth of the Company's user base and loan origination volume.",eCommerce,China,$101.30M,N/A
Houzz,Series E,$400.00M,06/23/2017,N/A,"Houzz is an online platform for home remodeling and design. Houzz connects homeowners, home design enthusiasts and home improvement professionals across the country and around the world.",eCommerce,United States,$613.60M,N/A
Deliveroo,Series F,$385.00M,09/25/2017,N/A,Deliveroo is an end-to-end food delivery service that brings local restaurant food to homes and offices through a proprietary technology and logistics platform.,eCommerce,United Kingdom,"$1,712.86M",N/A
"L
Lianjia",Series C,$375.00M,01/10/2017,N/A,Lianjia offers an online platform for rental and second-hand real estate transactions.,Internet Software & Services,China,"$1,701.26M",N/A
HelloFresh,IPO,$371.25M,11/02/2017,N/A,"HelloFresh is a global provider of fresh food at home via its soft subscription model business. Every week, users can choose recipes from an ever-changing weekly menu, and the company will deliver all of the seasonal, pre-measured, locally sourced ingredients needed to prepare them.",eCommerce,Germany,$366.70M,N/A
LeSports,Series B,$366.98M,05/26/2017,N/A,LeSports is an online sports video streaming business.,Internet Software & Services,China,"$1,695.78M",N/A
Traveloka,Series B - II,$350.00M,07/27/2017,N/A,Traveloka is an online travel aggregator based in Indonesia. The company organizes travel-related information and help users navigate through a number of options and get value with ease.,Internet Software & Services,Indonesia,"$1,170.00M",N/A
"S
SouChe Holdings",Series E,$335.00M,11/01/2017,N/A,"SouChe Holdings is a C2C platform allowing used-car sellers to dictate their own prices, with revenue generated from commissions charged on individual transactions. Its SaaS products, which include DaFengChe, CheNiu and Chehang168, connect used car dealers to small and large new car dealers in China.",eCommerce,China,"$1,282.21M",N/A
Decolar,IPO,$332.01M,09/20/2017,N/A,Decolar is an air and hotel online booking service in Latin America. The business operates across over a dozen countries through its branded websites Despegar.com in greater Latin America and Decolar.com in Brazil.,eCommerce,Argentina,$341.68M,N/A
"S
SouChe Holdings",Series D,$180.00M,04/06/2017,N/A,"SouChe Holdings is a C2C platform allowing used-car sellers to dictate their own prices, with revenue generated from commissions charged on individual transactions. Its SaaS products, which include DaFengChe, CheNiu and Chehang168, connect used car dealers to small and large new car dealers in China.",eCommerce,China,"$1,282.21M",N/A
Qualtrics,Series C,$180.00M,04/12/2017,N/A,"Qualtrics is a software-as-a-service company and the provider of an insight platform. These insights help clients make informed, data-driven business decisions. Enterprises, academic institutions, and government agencies use Qualtrics to collect, analyze, and act on the voice of the customer, employee engagement, customer satisfaction, brand, market, product, and employee feedback.",Internet Software & Services,United States,$400.00M,N/A
Rubrik,Series D,$180.00M,04/28/2017,N/A,"Rubrik makes data protection software that businesses employ to ensure that business documents can be restored if they are lost due to a technical failure or a ransomware assault.Customers can store backup copies of their documents in the cloud for convenient access with Rubrik. To ensure that ransomware assaults do not damage backup copies of organizations' data, the company's products use a method known as zero-trust data management.",Internet Software & Services,United States,$553.00M,N/A
"C
Chehaoduo",Series B - II,$180.00M,10/31/2017,N/A,"Chehaoduo is the operator of Guazi, an online C2C used-car trading platform, and Maodou, a new car eCommerce platform.",eCommerce,China,"$4,304.03M",N/A
"J
Jianpu Technology",IPO,$180.00M,11/16/2017,N/A,"Jianpu Technology (NYSE: JT) is an independent open platform for the discovery and recommendation of financial products. Jianpu provides users with personalized search results and recommendations that are tailored to each user's particular financial needs and credit profile. The company also enables financial service providers with sales and marketing solutions to reach and serve their target customers more effectively through online and mobile channels and enhance their competitiveness by providing them with tailored data, risk management, and end-to-end solutions. The company operates its open platform under the Rong360 brand.",eCommerce,China,$186.00M,N/A
"K
Kuaikan Manhua",Series D,$177.00M,12/01/2017,N/A,Kuaikan Manhua is an online platform for original online comic art.,Internet Software & Services,China,$595.00M,N/A
Casper,Series C,$170.00M,05/25/2017,N/A,"Casper (NYSE: CSPR) manufactures mattresses and sells them directly to consumers. Casper also sells various other bed-related furnishings such as pillows, bed frames, and beddings.",eCommerce,United States,$340.05M,N/A
Soundcloud,Series F,$169.50M,08/11/2017,N/A,"SoundCloud is an audio platform that enables users to upload, record, promote and share originally-created sounds across the internet. SoundCloud also offers an API that enables integration with third party applications.",Internet Software & Services,Germany,$543.01M,N/A
Moda Operandi,Series F,$165.00M,12/06/2017,N/A,"Moda Operandi is an online luxury fashion retailer to allow members to pre-order future styles immediately. Working with designers, Moda Operandi provides fashion trendsetters with access to collections from brands - including exclusive ready-to-wear, accessories and jewelry - immediately following their runway show.",eCommerce,United States,$413.51M,N/A
"H
Huochebang",Series B - II,$156.00M,05/02/2017,N/A,Huochebang is an online truck logistics platform that provides integrated services to truckers and shippers in China.,Internet Software & Services,China,$362.00M,N/A
"B
Bancor Protocol",Crowdfunding,$153.00M,06/12/2017,N/A,"Bancor Protocol is a standard for a new generation of cryptocurrencies called Smart Tokens. Smart tokens hold one or more other tokens in a constant reserve balance which provide a mechanism for automatic price discovery and continuous liquidity. Bancor's mission is to reduce barriers to entry, allowing the long tail of user-generated currencies to emerge.",eCommerce,Switzerland,$153.00M,N/A
Qiniu,Series E,$152.00M,08/29/2017,N/A,"Qiniu offers one-stop enterprise data management services. The Company is dedicated to providing reliable and scalable cloud storage, CDN, and data processing services.",Internet Software & Services,China,$377.10M,N/A
"Q
Qingting FM",Series E,$151.70M,09/22/2017,N/A,"Qingting FM is an online music platform that features more than 3,000 Chinese broadcast stations and offers content including music, news, and stories.",Internet Software & Services,China,$163.70M,N/A
"C
Chexiang.com",Series B,$151.05M,12/01/2017,N/A,Chexiang.com (车享) is an O2O automobile e-commerce platform offering online and offline services both for brand new and used cars. Facilities include leasing and maintenance.,eCommerce,China,$151.05M,N/A
CarGurus,IPO,$150.40M,10/12/2017,N/A,"CarGurus (NASDAQ: CARG) is an online car shopping platform where users can browse, list, research, and share information about cars.",eCommerce,United States,$3.40M,N/A
"M
Maihuolang Information Technology",Series A,$150.00M,02/28/2017,N/A,"Maihuolang Information Technology operates 51mhl.com, an e-commerce platform serving China's rural communities.",eCommerce,China,$150.00M,N/A
DianRong,Series D,$220.00M,08/02/2017,N/A,DianRong is a peer-to-peer (P2P) loan and financial services platform for small and medium enterprises in China.,eCommerce,China,$649.00M,N/A
OakNorth,Series B,$150.00M,08/14/2017,N/A,"Zuoyebang is an online education company that provides study platforms and services targeting K-12 students. The platform is a comprehensive study tool for school work search, efficient practice, learning, and discussion.",Internet Software & Services,China,"$3,435.00M",N/A
Traveloka,Series B,$150.00M,01/01/2017,N/A,Traveloka is an online travel aggregator based in Indonesia. The company organizes travel-related information and help users navigate through a number of options and get value with ease.,Internet Software & Services,Indonesia,"$1,170.00M",N/A
Macro Ventures,Series A,$150.00M,10/03/2017,N/A,"Macro is a multi-platform media company focused on the multicultural market. Macro aims to be the leading premium content creator for the new majority multicultural market by funding and producing theatrical features, premium television and digital content.",Internet Software & Services,United States,$150.00M,N/A
"N
Netshoes",IPO,$148.50M,04/12/2017,N/A,"Netshoes (NYSE: NETS) is a Brazil-based online sporting goods retailer, featuring products in categories such as soccer, fitness, bodybuilding, supplements, cycling, basketball, and more.",eCommerce,Brazil,$321.27M,N/A
"X
Xinchao Media",Series A,$147.61M,05/25/2017,N/A,"Xinchao Media aims to combine internet and traditional media in order to create new elevator TV experiences for audiences. Xinchao Media Group Co. is a tech-oriented media enterprise based on internet + conventional media. Using the elevator as the entrance of customer traffic in middle-class communities, XinChao has devoted itself to providing clients with more accurate and affordable community media traffic with smart hardware + software.",Internet Software & Services,China,"$1,329.69M",N/A
WTOIP,Series B,$147.00M,03/07/2017,N/A,"WTOIP is an intellectual property (IP) trading and industrial upgrading platform that focuses on the market of IP commercialization and monetization. Apart from the open online platform and the online-to-offline (O2O) service model which establishes WTOIP's distinctive and competitive position, WTOIP has also been building an ""IP Business ecosystem"" and providing services of business transformation and industrial upgrading to form a sustainable business model. With the integration of online-to-offline resources and professional services, WTOIP and its subsidiary UTC Intellectual Property assist numerous of corporations in upgrading and developing their business by providing various IP services of trademarks, patents, designs, copyrights and domain names, ranging from comprehensive I...",Internet Software & Services,China,$306.98M,N/A
"F
Futu Securities",Series C,$145.50M,06/13/2017,N/A,Futu5.com (NASDAQ: FUTU) focuses on providing online stock trading services for companies listed in Hong Kong and the U.S.,Internet Software & Services,Hong Kong,$215.50M,N/A
"X
X Financial",Series B,$145.20M,03/02/2017,N/A,"X Financial (NYSE: XYF) is a FinTech company operating an online investment platform that efficiently matches borrowers' loan requests with investors' investment demands and executes loan and investment transactions to provide borrowers with prompt funding, meeting the financing needs of borrowers and the investment demands of investors.",eCommerce,China,$205.20M,N/A
"L
Luoji Siwei",Series D,$142.15M,07/20/2017,N/A,Luoji Siwei is a knowledge-based networking community for China's younger generations. The company interacts with followers through various means including WeChat subscription accounts and talk shows. The company also offers the DeDao learning app.,Internet Software & Services,China,$188.15M,N/A
"P
Panda TV",Series B,$140.00M,05/24/2017,N/A,Panda TV is an online live video streaming platform.,Internet Software & Services,China,$194.00M,N/A
Addepar,Series D,$140.00M,06/08/2017,N/A,"Addepar is a financial operating system that aims to bring common sense and ethical, data-driven investing to the financial world. Addepar gives advisors and their clients a clearer financial picture at every level, all in one place, and handles all types of assets denominated in any currency. With customizable reporting, financial advisors can visualize and communicate relevant information to anyone who needs it.",Internet Software & Services,United States,$513.93M,N/A
Databricks,Series D,$140.00M,08/22/2017,N/A,Databricks provides a data platform that aims to simplify data integration and offers data analytic services.,Internet Software & Services,United States,"$3,497.00M",N/A
Redfin,IPO,$138.47M,07/28/2017,N/A,"Redfin (NASDAQ: RDFN) is a technology-powered residential real estate brokerage that represents people buying and selling homes throughout the United States. The company meets customers through its listings-search website and mobile application, reducing the marketing costs that can keep fees high. Redfin lets homebuyers schedule home tours with a few taps of a mobile-phone button, and provides an immersive online experience for every Redfin-listed home and then promotes that listing to more buyers than any traditional brokerage can reach through its own website. The platform uses machine learning to recommend better listings than any customer could find on their own.",Internet Software & Services,United States,$166.95M,N/A
"G
G-bits Network Technology",IPO,$138.00M,01/04/2017,N/A,"G-bits Network Technology (SHA: 603444) is an online game developer in China. The company, which is engaged in the research and development of the Internet and animation game works, has launched games such as Asktao, Asktao Legend, Immortal War, Carefree Online, and Asktao-Oversea.",Internet Software & Services,China,$26.00M,N/A
"Q
Qi An Xin",Series A,$135.71M,03/28/2017,N/A,"Qi An Xin (688561.SH) provides network security technology, products, and services for government, military, enterprise, education, finance, and other institutions and organizations.",Internet Software & Services,China,$860.88M,N/A
iflix,Series C,$133.00M,08/07/2017,N/A,"iflix offers an internet TV service for Southeast Asia that provides access to TV shows and movies from all over the world.On June 29, 2020, iflix was acquired by Tencent. The terms of the transaction were not disclosed.",Internet Software & Services,Malaysia,$348.00M,N/A
"M
Mafengwo",Series D,$133.00M,12/12/2017,N/A,"Mafengwo provides travel information and booking services for independent travelers. To differentiate itself from other travel services, the company focuses on building online communities of travelers who share information, tips and diary entries.",Internet Software & Services,China,$488.00M,N/A
SendGrid,IPO,$131.20M,11/15/2017,N/A,"SendGrid has developed a cloud-based service that solves the challenge of email delivery by delivering emails on behalf of companies. SendGrid seeks to eliminate the complexity of sending email, saving time and money while providing reliable delivery to the inbox.",Internet Software & Services,United States,$81.59M,N/A
Alteryx,IPO,$126.00M,03/24/2017,N/A,"Alteryx (NYSE: AYX) serves the self-service data analytics movement with a platform that can discover, prep, and analyze data, then deploy and share analytics at scale for deeper insights.",Internet Software & Services,United States,$163.00M,N/A
"B
Bread",Series B,$126.00M,08/02/2017,N/A,"Bread seeks to develop point-of-sale financing technologies that give retailers the tools to sell more and to engage more deeply with consumers. Bread provides white-labeled, customized solutions designed to optimize business impact by putting the retailer's brand first and empowering consumers via flexible pricing options.On October 29th, 2020, Bread was acquired by Alliance Data at a valuation of $450M.",Internet Software & Services,United States,$206.07M,N/A
Illumio,Series D,$125.15M,06/07/2017,N/A,"Illumio specializes in micro-segmentation and the prevention of cyber threats inside data centers and cloud environments. Illumio's Adaptive Security Platform™ uniquely protects critical information with real-time application dependency mapping and micro-segmentation that works in any data center, public cloud, or across hybrid deployments on bare-metal, virtualization, and containers.",Internet Software & Services,United States,$557.15M,N/A
"X
XiaoZhu",Series E,$120.00M,11/01/2017,N/A,XiaoZhu is a Beijing-based short-term lodging sharing platform. It provides lodging sharing services in over 130 cities in China.,eCommerce,China,$500.00M,N/A
