Companies,Investment Stage,Deal Size,Deal Date,Round Investors,Description,Industry,Country,Total Funding,All Investors
Jumia Technologies,Series D,$326.00M,03/03/2016,N/A,"Jumia (NYSE: JMIA) is an e-commerce store that offers a selection of products including men & women's fashion, mobile phones, computers, electronics, home appliances and more. Its platform consists of the marketplace, which connects sellers with consumers, our logistics service, which enables the shipment and delivery of packages from sellers to consumers, and its payment service, which facilitates transactions among participants active on the platform in selected markets.",eCommerce,Nigeria,$760.72M,N/A
"B
Baroque Japan",IPO,$307.00M,11/01/2016,N/A,"Baroque Japan is an apparel business and manages trendy clothing brands including Moussy, Azul by Moussy, Sly, Rodeo Crowns, Shelter, Black and Rienda.",eCommerce,Japan,,N/A
"Y
Yiguo",Series C,$300.00M,03/28/2016,N/A,Yiguo (易果生鲜) is a Chinese online fresh food eCommerce platform.,eCommerce,China,$800.00M,N/A
"Y
Yixin Group",Series B,$300.00M,06/06/2016,N/A,"Yixin (易鑫集团) (HKG :2858) is the developer and operator of an online retail automobile transaction platform that connects Chinese consumers to a network of automakers, auto dealers, financers, insurance companies, and aftermarket service providers.",Internet Software & Services,China,"$3,240.80M",N/A
AmWell,Series C,$290.61M,06/29/2016,N/A,"AmWell (NYSE: AMWL) enables providers, insurers, and patients to deliver greater access to more affordable healthcare. The company offers a single platform to support all telehealth needs from urgent to acute and post-acute care, as well as chronic care management and healthy living.",Internet Software & Services,United States,$806.22M,N/A
Trivago,IPO,$287.00M,12/16/2016,N/A,Trivago is a Germany-based global hotel search engine.,Internet Software & Services,Germany,,N/A
Deliveroo,Series E,$275.00M,08/05/2016,N/A,Deliveroo is an end-to-end food delivery service that brings local restaurant food to homes and offices through a proprietary technology and logistics platform.,eCommerce,United Kingdom,"$1,712.86M",N/A
"E
EasyLife Financial Services",Series B - II,$273.00M,12/30/2016,N/A,"EasyLife Financial Services is a travel financial services unit under HNA Group. It is focused on providing travel-related financial services including foreign exchange, overseas money transfer, traveler's checks and consumer loans.",Internet Software & Services,China,$355.00M,N/A
"T
Taobao Movie",Series A,$260.00M,05/15/2016,N/A,Taobao Movie is an online platform that offers ticketing and seat selection services.,eCommerce,China,$260.00M,N/A
"L
LexinFintech Holdings",Series C,$235.00M,06/15/2016,N/A,"LexinFintech Holdings (NASDAQ: LX) develops online consumer finance platforms for educated young adults in China. The company operates Fenqile, an online consumer finance and e-commerce channel that offers personal installment loans, installment purchase loans, and other loan products; and Juzi Licai, an online investment platform to individual investors seeking risk-adjusted investment returns.",Internet Software & Services,China,$345.00M,N/A
"M
Mango TV",Series B,$228.00M,06/23/2016,N/A,Mango TV is the online video platform of Hunan Satellite TV and Hunan Broadcasting System.,Internet Software & Services,China,"$1,334.00M",N/A
"D
DouYu",Series C,$226.00M,08/15/2016,N/A,"DouYu (NASDAQ: DOYU), is a video game-centric live streaming platform in China. DouYu operates its platform on both PC and mobile apps, through which users can enjoy immersive and interactive games and entertainment live streaming. DouYu's platform brings together a deep pool of live streamers. By providing a sustainable streamer development system built on advanced technology infrastructure and capabilities, DouYu helps ensure a consistent supply of quality content. Through collaborations with a variety of participants across the eSports value chain, the Company has gained access to a wide variety of premium eSports content, which further attracts viewers and enhances user experience.",Internet Software & Services,China,$976.00M,N/A
Payoneer,Series E,$220.00M,10/05/2016,N/A,"Payoneer (NASDAQ: PAYO) empowers global commerce by connecting businesses, professionals, countries, and currencies with its cross-border payments platform. Corporations including Airbnb, Amazon, Getty Images, Google, and UpWork rely on Payoneer's mass payout services. With Payoneer's fast, flexible, secure, and low-cost solutions, businesses and professionals in both developed and emerging markets can now pay and get paid globally as easily as they do locally.",Internet Software & Services,United States,$257.00M,N/A
Xinhuanet,IPO,$212.00M,10/28/2016,N/A,Xinhuanet.com (603888.SH) is a comprehensive news and information service-oriented website with Xinhua News Agency as its sponsor.,Internet Software & Services,China,,N/A
"O
OpenDoor",Series D,$210.00M,11/30/2016,N/A,"Opendoor is an online real estate marketplace that makes it possible to sell a home online in minutes. Instead of dealing with the hassle of listing and showings, upfront costs and repairs, negotiating with multiple parties, and the risk of the home not closing, homeowners can visit Opendoor.com, receive a guaranteed Opendoor offer and complete their sale in a few clicks.",eCommerce,United States,"$3,479.95M",N/A
Slack Technologies,Series F,$208.00M,04/01/2016,N/A,"Slack Technologies (NYSE: WORK) offers a team communication platform in one place that is instantly searchable and available wherever.On July 21, 2021, Slack Technologies was acquired by Salesforce at a valuation of $27.7B.",Internet Software & Services,United States,"$1,266.54M",N/A
"C
Chehaoduo",Series A,$204.50M,03/12/2016,N/A,"Chehaoduo is the operator of Guazi, an online C2C used-car trading platform, and Maodou, a new car eCommerce platform.",eCommerce,China,"$4,304.03M",N/A
Snapdeal,Series F,$200.00M,02/15/2016,N/A,"Snapdeal is an India-based daily deal site featuring a wide range of products and services from thousands of national, international and regional brands. There is a wide assortment of products across categories like Mobiles, Electronics, Fashion accessories, Apparel and Footwear, Kids, Home and Kitchen, Sports, Books, Restaurants, Entertainment and Spas amongst others.",eCommerce,India,"$1,776.20M",N/A
"X
Xuele",Series C,$200.00M,10/11/2016,N/A,Xuele (学乐) operates Xuelecn.com and provides online study materials closely linked to students' curriculum. The platform provides basic services for free but sells advertising and charges fees for personalized education services.,Internet Software & Services,China,$215.00M,N/A
Buzzfeed,Series G,$200.00M,10/20/2016,N/A,"BuzzFeed is a global social news and entertainment company that produces and distributes original news, entertainment, and video. BuzzFeed is redefining online advertising with its social, content-driven publishing technology and reaches a global audience of over 200M monthly unique viewers and 1.5B monthly video views.",Internet Software & Services,United States,$496.55M,N/A
"Y
Yiguo",Series C - II,$200.00M,11/09/2016,N/A,Yiguo (易果生鲜) is a Chinese online fresh food eCommerce platform.,eCommerce,China,$800.00M,N/A
"J
Jubao Interconnection Technology",Series A,$200.00M,11/22/2016,N/A,JBH Jubao Interconnection Technology is an online financial services spinout of the China-based conglomerate HNA group.,Internet Software & Services,China,$200.00M,N/A
bilibili,Series C - II,$199.00M,05/10/2016,N/A,"bilibili is a video sharing website themed around anime, manga, and game fandom based in China. Users can submit, view and add commentary subtitles on videos.",Internet Software & Services,China,$516.25M,N/A
"H
HuiMin",Series B,$195.00M,09/05/2016,N/A,HuiMin is a B2B wholesale and supply chain platform that connects hundreds of thousands of community convenience stores with end consumers and retailers.,eCommerce,China,$519.63M,N/A
Skyscanner,Series C,$192.00M,01/12/2016,N/A,"Skyscanner is a flight search engine that aims to allow users to browse for flights via price and location. Additional tools, such as fare graphs, allow users to compare flight prices of any given route over a month period, or the price of weekend flights from any given city. The site is multilingual, offering flight searches in 20 languages including Chinese, Russian, Portuguese, Polish, Spanish, and Japanese. Skyscanner does not sell flights directly; instead, the site can be used to find the cheapest deal for a desired route after which users are automatically transferred to the airline or travel supplier's website to make their booking directly. Users can search for flights without having to enter specific dates or destinations, creating a very flexible flight search platform. S...",eCommerce,United Kingdom,$197.18M,N/A
"C
Chunyu Health",Series C,$180.59M,06/06/2016,N/A,"Provider of a mobile health application for smartphones. The company's platform allows users to check diseases by themselves, or ask questions to professional doctors. They can receive replies during one hour. In addition, users can search hospitals, drug stores, and doctor information nearby through the application.",Internet Software & Services,China,$251.28M,N/A
Flatiron Health,Series C,$175.00M,01/06/2016,N/A,"Flatiron Health is a health care technology company and operator of the OncologyCloud platform. Integrating across the entire clinical data spectrum, Flatiron Health allows cancer care providers and life science companies to gain business and clinical intelligence through its web-based platform.",Internet Software & Services,United States,$313.00M,N/A
Sea,Series D,$170.00M,03/31/2016,N/A,"Sea operates an online gaming platform, an eCommerce platform, and a digital financial services platform. Garena, a digital entertainment platform, provides mobile and PC online games across Greater Southeast Asia. Shopee is a mobile-centric eCommerce marketplace that connects buyers and sellers to facilitate a fast and seamless shopping experience for all. AirPay, a digital financial services platform, provides e-wallet services to consumers through the AirPay App and to small businesses through the AirPay counter application.",Internet Software & Services,Singapore,$722.00M,N/A
"P
Pay Egis",Series B,$161.69M,04/27/2016,N/A,"Pay Egis provides AI and IoT solutions and data operations based on digital identity verification. The company provides cloud computing, big data, AI, and blockchain information technology for finance, public safety, telecommunication, power, education, healthcare, and other industries.",Internet Software & Services,China,$165.06M,N/A
"W
WeLab",Series B,$160.00M,01/20/2016,N/A,"WeLab is a fintech company in Asia with a digital bank in Hong Kong - WeLab Bank. The company operates WeLend in Hong Kong, WeLab Digital, Taoxinji, and Tianmian Lab in China and AWDA, a fintech JV with PT Astra International in Indonesia. The company uses risk management technology to analyze unstructured mobile big data to provide consumer financing solutions for the individual.",Internet Software & Services,Hong Kong,$656.00M,N/A
Carvana,Series C,$160.00M,08/10/2016,N/A,"Carvana (NYSE: CVNA) offers automated, coin-operated car vending machines, which allow people to shop for, finance, purchase, and trade-in a car entirely online, while receiving next-day vehicle delivery or pick-up. Cars come with an accident-free guarantee, undergo a 150-point inspection, and come with a 100-day/4,189 mile bumper-to-bumper warranty, as well as a 7-Day Return Policy. The company already delivers to customers nationwide and offers delivery as soon as the next-day to the following markets: Atlanta, Austin, Birmingham, Charlotte, Dallas, Houston, Jacksonville, Miami, Nashville, Orlando, Raleigh, Richmond, San Antonio, Tampa, and Washington, D.C.",eCommerce,United States,$935.00M,N/A
"B
Baidu Video",Series A,$154.69M,04/20/2016,N/A,Baidu Video is an independent video-streaming service.,Internet Software & Services,China,$254.69M,N/A
"Z
Zhaogang",Series E,$153.00M,01/05/2016,N/A,Zhaogang is a B2B commerce platform dedicated to steel trading.,eCommerce,China,$361.25M,N/A
"W
Weidai",Series C,$153.00M,05/23/2016,N/A,"Weidai (NYSE: WEI) is an internet financial services platform specializing in automobile mortgage-backed loans. The company has established offline service centers in Zhejiang, Jiangsu, Shanghai, Jiangxi, and Anhui.",eCommerce,China,$193.00M,N/A
DraftKings,Series E,$153.00M,09/01/2016,N/A,DraftKings (NASDAQ: DKNG) is a skill-based Daily Fantasy Sports (DFS) gaming destination for fans in North America to compete in single-day online games for cash and prizes across a large variety of professionals and collegiate sports.,Internet Software & Services,United States,$727.60M,N/A
"C
Cgtz",Series B,$152.14M,06/06/2016,N/A,"Cgtz is a business-to-customer (B2C) debt investment portal, providing various investments products for the individual and small and medium enterprises (SMEs).",Internet Software & Services,China,$535.86M,N/A
"T
TT Voice",Series A,$150.14M,05/30/2016,N/A,"TT Voice is an early online mobile game social platform in China.On May 30th, 2016, Rastar Group acquired a majority stake in TT Voice at a valuation of $219.49M.",Internet Software & Services,China,$250.14M,N/A
"S
ShopClues",Series E,$150.00M,01/12/2016,N/A,"ShopClues, operated by Clues Network, operates a fully managed online marketplace that connects buyers and sellers and offers a trusted and safe online shopping experience. On October 31, 2019 ShopClues was acquired by Qoo10 at a valuation of $50M to $100M.",eCommerce,India,$290.52M,N/A
"L
LeCloud",Series A,$150.00M,03/03/2016,N/A,"LeCloud is a free-of-charge cloud platform that provides storage space for private users and corporate clients to share photos, files, music, and software.",Internet Software & Services,China,$150.00M,N/A
BigBasket,Series D,$150.00M,03/22/2016,N/A,"BigBasket is a hyperlocal online grocery delivery platform based in Bengaluru, India.On February 16th, 2021, Tata Group acquired a majority stake in BigBasket at a valuation at $1926.47M",eCommerce,India,$770.98M,N/A
SMS Assist,Series D,$150.00M,06/07/2016,N/A,"SMS Assist provides a cloud-based multisite property management software to clients with more than 120,000 service locations. Using the company's platform to manage networks of more than 20,000 affiliate subcontractors, the company offers a suite of property management benefits including leveraged pricing of products and services, $30 million risk indemnification, real-time services validation, instant invoicing, automatic service audits and data analysis. SMS Assist is a mobile and cloud-based multisite property management company.",Internet Software & Services,United States,$255.00M,N/A
"R
RenRenChe",Series D,$150.00M,09/05/2016,N/A,"Shanyi Shanmei Technology, dba RenRenChe, is a Beijing-based used-car online transaction platform.",eCommerce,China,$760.00M,N/A
Stripe,Series D,$150.00M,11/25/2016,N/A,"Stripe is a technology company that builds economic infrastructure for the internet. The company offers an online-based, payment processing platform that gives online merchants the ability to securely accept credit card payments through the use of custom-built forms.",Internet Software & Services,United States,"$2,900.94M",N/A
Prosper Marketplace,Series F,$150.00M,05/26/2016,N/A,"Prosper is a peer-to-peer lending marketplace that connects people who want to invest money with people who want to borrow money. On Prosper.com, borrowers list loan requests between $2,000 and $25,000, and individual lenders invest as little as $25 in each loan listing they select. The unsecured personal loans are used by Prosper borrowers for a variety of purposes including paying down high interest rate debt and helping with small business funding.",Internet Software & Services,United States,$562.44M,N/A
Tokopedia,Series E,$147.00M,04/08/2016,N/A,"Tokopedia is an Indonesian-based online mall that brings together buyers and sellers to allow online transactions securely and comfortably.On April 16, 2021, Tokopedia merged with Gojek to form GoTo.",eCommerce,Indonesia,"$3,297.70M",N/A
Blackline,IPO,$146.20M,10/28/2016,N/A,"Blackline supports accounting processes such as the financial close, account reconciliation, intercompany accounting, and controls assurance. By introducing software to automate these processes and to enable them to function continuously, Blackline empowers customers to improve the integrity of their financial reporting, achieve efficiencies and enhance real-time visibility into their operations.",Internet Software & Services,United States,,N/A
CarTrade,Series B,$145.00M,01/13/2016,N/A,CarTrade is a B2B marketplace for used vehicles in India. The company's car auctions take place across more than 80 cities with a large number of dealers participating in these auctions. This enables CarTrade to empower the buyers and the seller to choose the most suitable vehicles at the most affordable prices.,eCommerce,India,$272.70M,N/A
"Y
Yuancheng Shijie",Series B,$135.12M,01/01/2016,N/A,Yuancheng Shijie is a remote optic clinic where local public hospitals upload photos for remote specialists to diagnose.,Internet Software & Services,China,$167.36M,N/A
"B
Bingchuan Network",IPO,$134.70M,08/18/2016,N/A,Bingchuan Network (300533.SZ) is an online game and animation developer based in China.,Internet Software & Services,China,,N/A
Coupa Software,IPO,$133.20M,10/06/2016,N/A,"Founded in 2006, Coupa Software provides an enterprise-class, organic suite of cloud solutions proven to reduce the cost of doing business by making it super easy for employees to make better decisions. More than 400 customers use the Coupa suite of cloud applications to amplify their spend power and reduce spending costs up to 11 percent. Coupa provides a suite of true cloud applications for finance, including procurement, expense management, and accounts payable that can be launched quickly for significant savings.",Internet Software & Services,United States,$169.00M,N/A
DoorDash,Series C,$127.00M,03/22/2016,N/A,"DoorDash (NYSE: DASH) is an on-demand delivery service that connects customers with local businesses. Through the DoorDash marketplace, people can purchase goods from local merchants and have them delivered in less than 45 minutes - thanks to its logistics technology.",eCommerce,United States,"$2,471.72M",N/A
WiseTech Global,IPO,$125.13M,04/11/2016,N/A,"WiseTech Global (ASX: WTC) develops cloud-based software solutions for the international and domestic logistics industries. The company has helped logistics companies efficiently manage the movement of goods and information. WiseTech's lead product, CargoWise One, provides an end-to-end logistics solution.",Internet Software & Services,Australia,,N/A
"H
Huochebang",Series B,$115.00M,12/22/2016,N/A,Huochebang is an online truck logistics platform that provides integrated services to truckers and shippers in China.,Internet Software & Services,China,$362.00M,N/A
Fuze,Series E,$112.00M,02/09/2016,N/A,"Fuze is a global, cloud-based unified communications platform that empowers productivity and delivers insights across the enterprise by enabling simplified business voice communications, flexible video conferencing and always-on collaboration. It features calling, meetings, and a contact center. Users can share content on calls and have HD audio.On December 1st, 2021, Fuze was acquired by 8x8 at a valuation of $250M.",Internet Software & Services,United States,$502.06M,N/A
SecureWorks,IPO,$112.00M,04/22/2016,N/A,"SecureWorks offers a suite of managed IT security services and professional services for enterprise clients. The company provides information security services, protecting customers' computers, networks and information assets from malicious activity such as cybercrime.",Internet Software & Services,United States,$62.28M,N/A
Thrive Market,Series B,$111.00M,06/27/2016,N/A,"Thrive Market is an online store offering organic products at wholesale prices. The company carries over 2,500 types of food, supplements, home, and personal care products from over 400 brands on the market.",eCommerce,United States,$180.68M,N/A
Farfetch,Series F,$110.00M,05/04/2016,N/A,"Farfetch (NYSE:FTCH) is a global community of fashion boutiques that offers an inspirational shopping experience to fashion-forward consumers. The independent boutiques within the community have been carefully selected for their forward-thinking attitude, unique approach to merchandising and diversity of brands.",eCommerce,United Kingdom,$701.50M,N/A
"P
Pinduoduo",Series B,$110.00M,07/22/2016,N/A,"Pinduoduo (NASDAQ: PDD) is a social eCommerce platform that enables users to participate in group buying deals with their friends, mostly via third-party channels such as Tencent's WeChat app. Users can share ideas about what they like, get feedback from friends, and buy items at lower prices if they purchase in groups. The Company provides deals in various segments, including food, apparel & accessories, cosmetics, electronics and appliances, and baby products.",eCommerce,China,$110.00M,N/A
Deezer,Series E,$109.10M,01/20/2016,N/A,"Deezer, owned and operated by Blogmusik, allows users to listen online to specific albums and songs and share their playlists and musical tastes with the Deezer community.",Internet Software & Services,France,$481.80M,N/A
Sprinklr,Series F,$105.00M,07/20/2016,N/A,"Sprinklr is a complete social media management platform for the enterprise, designed to help large companies collaborate across their entire organization to customer experiences across every social channel. The platform provides content planning and publishing, advocate and audience management, owned engagement and moderation, and earned monitoring and listening.",Internet Software & Services,United States,$578.50M,N/A
"C
Cgtz",Series B,$152.14M,06/06/2016,N/A,"Cgtz is a business-to-customer (B2C) debt investment portal, providing various investments products for the individual and small and medium enterprises (SMEs).",Internet Software & Services,China,$936.30M,N/A
"X
Xinhehui",Series B,$102.87M,12/13/2016,N/A,Xinhehui is an online small loan platform.,Internet Software & Services,China,$118.22M,N/A
"D
DS365 Technology",Series B,$102.00M,11/30/2016,N/A,"DS365 Technology (店商互联) is a provider of B2B supply chain solutions for convenience stores, offering sales channels, trading platforms, and logistics services.",Internet Software & Services,China,$182.36M,N/A
"B
Boqii",Series C,$102.00M,01/01/2016,N/A,Boqii (NYSE: BQ) is an e-commerce site focusing on pet-related products based in China.,eCommerce,China,$187.00M,N/A
"Y
Yintech Investment Holdings",IPO,$101.25M,04/27/2016,N/A,"Yintech Investment Holdings is an online provider of spot commodity trading services in China. The company facilitates the trading by individual customers of silver, gold and other precious metals and commodities on three leading exchanges in China, namely the Shanghai Gold Exchange, the Tianjin Precious Metals Exchange and the Guangdong Precious Metals Exchange.",Internet Software & Services,China,,N/A
"Y
YunNiao",Series C,$100.00M,01/11/2016,N/A,YunNiao provides an online platform connecting Chinese enterprises in need of same-city courier services with individuals with vans who are willing to provide such services.,Internet Software & Services,China,$210.00M,N/A
"J
Jianke Pharmaceutical",Series A,$100.00M,01/29/2016,N/A,"Jianke Pharmaceutical operates a B2C pharmaceutical e-commerce site, Jianke.com.",eCommerce,China,$280.00M,N/A
Snag,Series E,$100.00M,02/04/2016,N/A,"Snag offers an online platform for finding hourly work and is helping the marketplace for on-demand hourly workers through technology. The company aims to put people in the right fit-positions so they can maximize their potential and live more fulfilling lives. SnagAJob offers connections between workers and employers across a variety of industries, including restaurant, retail, hospitality and healthcare.",Internet Software & Services,United States,$197.42M,N/A
"D
DouYu",Series B,$100.00M,03/15/2016,N/A,"DouYu (NASDAQ: DOYU), is a video game-centric live streaming platform in China. DouYu operates its platform on both PC and mobile apps, through which users can enjoy immersive and interactive games and entertainment live streaming. DouYu's platform brings together a deep pool of live streamers. By providing a sustainable streamer development system built on advanced technology infrastructure and capabilities, DouYu helps ensure a consistent supply of quality content. Through collaborations with a variety of participants across the eSports value chain, the Company has gained access to a wide variety of premium eSports content, which further attracts viewers and enhances user experience.",Internet Software & Services,China,$976.00M,N/A
Domo,Series D - IV,$100.00M,03/22/2016,N/A,"Domo is a fully mobile, cloud-based operating system that unifies every component of a business and delivers it all on the user's phone.",Internet Software & Services,United States,$698.16M,N/A
Betterment,Series E,$100.00M,03/29/2016,N/A,"Betterment is a goal-based online investment company that delivers personalized financial advice paired with low fees and customer experience. Through its platform, Betterment's seeks to eliminate the typical complexities and time commitment of the traditional investment account. Behavioral guardrails built into the account help users make savvy, rational decisions with their finances.",Internet Software & Services,United States,$435.00M,N/A
OYO Rooms,Series C,$100.00M,04/11/2016,N/A,"OYO Rooms operates a virtual hospitality brand in India by aggregating hotels/guesthouses in the economy segment, making inventory discoverable and bookable online, and providing a standardized and trusted experience to travelers. By running a managed marketplace of properties under its own brand, Oyo matches the supply of economy rooms in India with online/mobile demand.",eCommerce,India,"$3,113.68M",N/A
"B
BeiBei",Series D,$100.00M,06/17/2016,N/A,"BeiBei is a China-based e-commerce platform offering local children's brands covering clothes, accessories, toys and more, including Disney, Barbie, and Hello Kitty.",eCommerce,China,$224.40M,N/A
"L
Liepin",Series D,$100.00M,06/28/2016,N/A,"Liepin (HK: 06100) is a Chinese internet recruitment company offering premium job services. The company charges fees to enterprises based on their recruitment needs, required level of service, recruitment time frame, and service content, providing them with professional, customized, and high-end recruitment assistance.",Internet Software & Services,China,$170.00M,N/A
VIPKid,Series C,$100.00M,08/04/2016,N/A,"VIPKid is an online education platform that connects Chinese children to one-on-one video teaching sessions with teachers based in North America, offering a real-time online English immersion learning experience.",Internet Software & Services,China,$975.49M,N/A
"F
Fruitday.com",Series D,$100.00M,01/01/2016,N/A,"Fruitday.com (天天果园) is China's largest fresh fruit shopping site. Founded in 2009, the company's management team has over 30 years of combined experience in the fruit and food sector. Since its inception, Fruitday.com has built its own logistics systems and dedicated cold storage to provide high-quality fresh fruits to consumers through multiple distribution channels, in addition to a 48-hour response mechanism for after-sales services. Fruitday.com is committed to providing the highest quality fresh fruit shopping experience for China's consumers.",eCommerce,China,$185.00M,N/A
"W
WSmall.com",Series B,$100.00M,10/18/2016,N/A,"WSmall.com combines e-commerce and entrepreneurship by aggregating small merchants on the platform and providing them with customized services on branding, customer service and marketing. The e-commerce platform focuses on daily consumer goods, cosmetics, healthy foods, baby and pregnancy products.",eCommerce,China,$115.00M,N/A
"Y
Yijiupi",Series C,$100.00M,10/19/2016,N/A,"Yijiupi, founded in 2014, is a B2B online liquor retailer that supplies wines and spirits to convenience stores and offline beverage retailers in Chinese cities.",eCommerce,China,$547.27M,N/A
"S
SouChe Holdings",Series C,$100.00M,11/15/2016,N/A,"SouChe Holdings is a C2C platform allowing used-car sellers to dictate their own prices, with revenue generated from commissions charged on individual transactions. Its SaaS products, which include DaFengChe, CheNiu and Chehang168, connect used car dealers to small and large new car dealers in China.",eCommerce,China,"$1,282.21M",N/A
"T
Tiantian Paiche",Series C,$100.00M,11/21/2016,N/A,Tiantian Paiche is a used car online auction platform.,eCommerce,China,$521.00M,N/A
"H
Hangzhou Wansecheng E-Commerce Co. Ltd.",Series B,$100.00M,10/17/2016,N/A,"Provider of a social-network based e-commerce platform. The company provides an e-commerce platform covering a wide spectrum of products, from furniture and food to apparel and accessories. It is also a business platform for startups to rent or purchase online stores and to showcase their products.",eCommerce,China,$115.00M,N/A
Metromile,Series D,$96.00M,02/16/2016,N/A,"Metromile (NASDAQ: MILE) makes insurance affordable, fair and personalized with AI and design. The insurance carrier has sensor and telematics data directly from all of its customers' vehicles, which allows it to provide better rates for consumers. The company is best known for pay-per-mile car insurance U.S. and is building a loyal community of drivers who come for the savings and stay for the experience.",Internet Software & Services,United States,$300.50M,N/A
VSPN,Series A,$95.34M,07/28/2016,N/A,VSPN is an internet sports and cultural media company that focuses on eSports and operates its own eSports competitions.,Internet Software & Services,China,$255.34M,N/A
Datadog,Series D,$94.51M,01/12/2016,N/A,"Datadog unifies the data from servers, databases, applications, tools and services to present a unified view of the infrastructure. These capabilities are provided on a SaaS-based monitoring and data analytics platform that enables multiple teams working collaboratively on the infrastructure to avoid downtime, resolve performance problems and ensure that development and deployment cycles finish on time.",Internet Software & Services,United States,$147.09M,N/A
"J
Juanpi",Series C,$93.00M,04/14/2016,N/A,Juanpi is an online platform that sells discounted consumer products.,eCommerce,China,$136.05M,N/A
