Companies,Description,Industry,Country,Total Funding,Founded Year,Latest Funding Data,Latest Funding Round,Latest Funding Amount
Traveloka,Traveloka is an online travel aggregator based in Indonesia. The company organizes travel-related information and help users navigate through a number of options and get value with ease.,Internet Software & Services,Indonesia,"$1,170.00M",2012,07/28/2020,Series D,$250.00M
Cohesity,"Cohesity enables companies of all sizes to bring order to their data chaos. Its intelligent data platform converges secondary storage workflows to transform disparate silos of data into business insight. Cohesity takes aim at the inefficient, fractured landscape of secondary storage for data protection, development, and analytics by applying a distributed, web-scale architecture to break down these data silos. Its solution converges all secondary storage workflows onto an intelligent, scalable data platform so customers can store and protect data, use it efficiently, and learn from it instantly.",Internet Software & Services,United States,$660.00M,2013,04/09/2020,Series E,$250.00M
Mafengwo,"Mafengwo provides travel information and booking services for independent travelers. To differentiate itself from other travel services, the company focuses on building online communities of travelers who share information, tips and diary entries.",Internet Software & Services,China,$488.00M,2010,05/23/2019,Series E,$250.00M
VNLIFE,"VNLIFE is a diverse ecosystem comprising of companies driving transformations in both traditional and growing demand sectors in the economy such as tourism, logistics, commerce, and constantly expanding its presence beyond Viet Nam to Singapore, Myanmar and Cambodia.",IT Services,Vietnam,$550.00M,2007,07/30/2021,Series B,$250.00M
SmartLabs,Smart Labs offers a digital platform that specializes in laboratory-as-a-service (LaaS) services.,Internet Software & Services,United States,$330.00M,,09/20/2021,Series B,$250.00M
ClickHouse,"ClickHouse is an open-source, column-oriented OLAP database management system that allows users to generate analytical reports using SQL queries in real-time.",Internet Software & Services,United States,$300.00M,2021,10/28/2021,Series B,$250.00M
Confluent,"Confluent provides an Apache Kafka-based streaming platform for enterprises in industries such as retail, logistics, manufacturing, financial services, technology, and media to maximize the value of their data. Confluent Platform lets enterprises move data from isolated systems into a real-time data pipeline where they can act on it immediately.",Internet Software & Services,United States,$455.90M,2014,04/21/2020,Series E,$250.00M
RuiGuShop,"RuiGuShop is an eCommerce platform for hardware, industrial materials, mechanical parts, as well as power tools.",eCommerce,China,$344.80M,2013,10/22/2021,Series D,$250.00M
Lendable,Lendable is a lending platform providing instant loans at fair rates.,eCommerce,United Kingdom,$252.11M,2014,07/16/2019,Line of Credit,$248.20M
Chengrui Optics,Chengrui Optics is a subsidiary of AAC Technologies that focuses on providing optical products and optical solutions.,Electronic Components,China,$247.69M,,10/12/2020,Private Equity,$247.69M
Recursion,"Recursion (NASDAQ: RXRX) is a clinical-stage biotechnology company combining experimental biology and automation with artificial intelligence in a parallel system to efficiently discover potential drugs for diverse indications, including genetic disease, inflammation, immunology, and infectious disease.",Biotechnology,United States,$509.79M,2013,09/09/2020,Series D,$245.00M
Sightline Payments,"Sightline Payments specializes in cashless commerce solutions. The company's Play+ service provides integrated resort operators and platform providers with cashless, mobile, and omnichannel commerce solutions.",Specialty Computer Hardware,United States,$359.48M,2010,08/17/2021,Unattributed - V,$244.00M
S1,"S1 is a Software (non-internet/mobile) company based in Norcross, Georgia. S1's investors include State Farm Insurance Companies, JPMP Capital, Allianz, Zurich Financial Services and FleetBoston Financial.",,United States,$248.53M,1996,05/17/2000,Unattributed VC,$244.00M
GoStudent,"GoStudent offers access to a community of tutors for all students between the age of 10-20 that help students with their problems in school (regular knowledge questions, math problems, presentations, summaries and more).",Internet Software & Services,Austria,$344.79M,2017,06/22/2021,Series C,$244.00M
Vena Solutions,"Vena Solutions turns Excel into an enterprise-class platform to automate financial and other spreadsheet-driven processes across organizations. Customers use Vena for corporate performance management (CPM) applications including budgeting, financial close management, reporting, and automating other spreadsheet driven processes across and beyond finance.",Internet Software & Services,Canada,$382.44M,2011,04/27/2021,Series C,$242.00M
Baihe Holding,Baihe Holding is a multi-channel (online and offline) matchmaking service provider in China.,Internet Software & Services,China,$242.00M,,05/21/2015,Series D,$242.00M
Lakala Payment,"Lakala Payment (SZ: 300773) is an Internet-based integrated financial service platform that provides online and offline third-party payment services, as well as consumer lending, credit rating, and wealth management services.",Internet Software & Services,China,$269.00M,2005,06/23/2015,Series C,$242.00M
Ratepay,Ratepay is a provider of online payment processing services for eCommerce businesses.,Internet Software & Services,Germany,$336.34M,2009,02/09/2021,Debt - II,$241.95M
Forto,"Forto offers forwarding services for sea and air freight as well as rail freight transport built on digitized processes - from booking, communication, data exchange and document management to supply chain optimization.",Internet Software & Services,Germany,$365.83M,2016,06/21/2021,Series D,$240.00M
Kuaikan Manhua,Kuaikan Manhua is an online platform for original online comic art.,Internet Software & Services,China,$595.00M,2014,08/23/2021,Series F,$240.00M
ActiveCampaign,"ActiveCampaign helps businesses grow by strengthening their relationships with customers through utilizing a blend of automation and human touch. Companies are able to automate many behind-the-scene processes and communicate with customers across channels with personalized, intelligence-driven messages.",Internet Software & Services,United States,$360.00M,2003,04/21/2021,Series C,$240.00M
Gelato,Gelato is on a mission to empower ecommerce and the creator economy to reach any customer overnight with any customized product. Gelato's curated marketplace lowers the barriers for creators and entrepreneurs around the world to go and sell their own products online by offering a one-stop shop for customized print products on demand.,eCommerce,Norway,$293.61M,2007,08/16/2021,Series B,$240.00M
NUVIA,"NUVIA focuses on high performance silicon design for a compute-intensive world. It seeks to create a class of processor that delivers the performance and energy efficiency needed to power the next era of computing.On January 13th, 2021, NUVIA was acquired by Qualcomm Technologies at a valuation of $1.4B.",Specialty Computer Hardware,United States,$293.00M,2019,09/24/2020,Series B,$240.00M
Gong,"Gong helps B2B sales teams convert more of their pipeline into closed revenue by shining the light on their sales conversations. Gong records, transcribes, and analyzes all sales calls, demos, and meetings so that sales teams can scale the effectiveness of their sales conversations.",Internet Software & Services,United States,$583.00M,2015,06/03/2021,Series E,$250.00M
Rippling,"Rippling helps businesses manage and automate all their employee systems, in one place. The company offers a unified system to onboard employees in 90 seconds and manage payroll, benefits, devices, and over 500 apps.",Internet Software & Services,United States,$447.12M,2017,10/21/2021,Series C,$250.00M
Wiz,"Wiz operates as a cloud security company that allows companies to secure their cloud infrastructure at scale. Wiz delivers a contextual risk assessment of a client's cloud with the aims of enabling a reduction in security alerts, a clear action plan, and cloud hygiene at scale.",Internet Software & Services,Israel,$600.00M,2020,10/11/2021,Series D,$250.00M
Cohesity,"Cohesity enables companies of all sizes to bring order to their data chaos. Its intelligent data platform converges secondary storage workflows to transform disparate silos of data into business insight. Cohesity takes aim at the inefficient, fractured landscape of secondary storage for data protection, development, and analytics by applying a distributed, web-scale architecture to break down these data silos. Its solution converges all secondary storage workflows onto an intelligent, scalable data platform so customers can store and protect data, use it efficiently, and learn from it instantly.",Internet Software & Services,United States,$660.00M,2013,04/09/2020,Series E,$250.00M
Mafengwo,"Mafengwo provides travel information and booking services for independent travelers. To differentiate itself from other travel services, the company focuses on building online communities of travelers who share information, tips and diary entries.",Internet Software & Services,China,$488.00M,2010,05/23/2019,Series E,$250.00M
VNLIFE,"VNLIFE is a diverse ecosystem comprising of companies driving transformations in both traditional and growing demand sectors in the economy such as tourism, logistics, commerce, and constantly expanding its presence beyond Viet Nam to Singapore, Myanmar and Cambodia.",IT Services,Vietnam,$550.00M,2007,07/30/2021,Series B,$250.00M
SmartLabs,Smart Labs offers a digital platform that specializes in laboratory-as-a-service (LaaS) services.,Internet Software & Services,United States,$330.00M,,09/20/2021,Series B,$250.00M
ClickHouse,"ClickHouse is an open-source, column-oriented OLAP database management system that allows users to generate analytical reports using SQL queries in real-time.",Internet Software & Services,United States,$300.00M,2021,10/28/2021,Series B,$250.00M
Confluent,"Confluent provides an Apache Kafka-based streaming platform for enterprises in industries such as retail, logistics, manufacturing, financial services, technology, and media to maximize the value of their data. Confluent Platform lets enterprises move data from isolated systems into a real-time data pipeline where they can act on it immediately.",IT Services,India,$235.00M,2013,07/01/2020,Private Equity,$235.00M
Oosto,"Oosto provides actionable intelligence powered by Vision AI to keep customers, employees, and visitors safe. Oosto enables enterprises to better protect their customers, guests and employees by identifying security and safety threats in real-time without compromising on fair and ethical use.","Business Intelligence, Analytics & Performance Mgmt Software",Israel,$352.00M,2015,07/07/2021,Series C,$235.00M
Miaoshou Doctor,"Miaoshou Doctor, developed by Yuanxin Technology, is a pharmaceutical e-commerce company.",eCommerce,China,$971.14M,2015,08/03/2021,Series F,$231.93M
Ministry Brands,"Ministry Brands provides end-to-end cloud-based technology for faith-based organizations and educational institutions, including churches, parachurch ministries, and more. The company offers a full suite of services, including content management, giving and payment processing, background checks, church management software, financial accounting software, messaging, coaching programs, website development software, mobile apps, and more, designed for use by pastors and church executives, technology professionals, and administrators.",Internet Software & Services,United States,$230.33M,2012,12/28/2016,Unattributed,$230.33M
SmartNews,"SmartNews is a global news discovery company offering an AI-powered news aggregation app that delivers politics, sports, world news and entertainment news.",Mobile Software & Services,Japan,$409.60M,2012,09/15/2021,Series F,$230.00M
Meero,"Meero offers high-quality production of commercial photos, videos, and panoramic 360-degree virtual reality experiences to help clients such as real estate brokers, automobile dealers, hotels and resorts, and restaurants sell their spaces.",eCommerce,France,$297.50M,2016,06/18/2019,Series C,$230.00M
4G Clinical,"4G Clinical is a full-service RTSM company focused on simplifying and accelerating the drug development process. The company was founded to develop a service offering centered around a 4th generation Randomization and Trial Supply Management (RTSM) system, Prancer.",Healthcare Software,United States,$259.28M,2016,06/29/2021,Series D,$230.00M
EquipmentShare,"EquipmentShare offers a platform that combines insurance verification, background checks, payment processing and an interface for lending and renting equipment. The company benefits renters by providing a platform that facilitates inexpensive peer-to-peer renting of contracting equipment, and its platform gives contractors the ability to make money off of the equipment not being used.",eCommerce,United States,$364.19M,2014,04/14/2021,Series D,$230.00M
Gryphon Insurance,"Gryphon Insurance sells life insurance in the UK, products include critical illness cover and income protection. Gryphon's infrastructure will be based on digital and cloud based technologies.",Internet Software & Services,United Kingdom,$230.00M,,06/14/2017,Unattributed,$230.00M
Duck Creek Technologies,"Duck Creek Technologies provides comprehensive P&C insurance software and services delivered on-premise or via Duck Creek On-Demand, a differentiated Software as a Service model. The software is designed to work independently or as a combined approach to quickly handle the needs of insurers of all sizes worldwide. Duck Creek solutions enable clients to optimize outcomes through digital and data capabilities, streamlined operations, and consistent functionality.",Internet Software & Services,United States,$364.42M,2000,06/10/2020,Growth Equity - II,$230.00M
RagingWire Data Centers,"RagingWire designs, builds, and operates mission critical data centers that deliver high-density power and 100% availability. Their power delivery systems and EPA ENERGY STAR rated facilities lead the data center market in reliability and efficiency. With flexible colocation solutions for retail and wholesale buyers, a carrier neutral philosophy, and unmatched customer service, RagingWire meets the needs of top enterprise, Internet, and government organizations.",IT Services,United States,$230.00M,2000,09/18/2013,Line of Credit,$230.00M
JD MRO,"JD MRO is the subsidiary of JD.com that provides industrial and enterprise products, including lighting, cleaning, chemicals, lab products, electric products, personal protection, and more.",eCommerce,China,$230.00M,2018,04/01/2020,Series A,$230.00M
Princeton Digital Group,"Princeton Digital Group delivers agile data center services and internet infrastructure to support SME, MNC, and hyper-scale expansion into Asian markets.",IT Services,Singapore,$590.00M,2018,04/16/2021,Debt,$230.00M
BitDAO,"BitDAO aims to use its financial and talent resources to foster and invest in innovation, collaboration, and growth across DeFi.",Internet Software & Services,Panama,$230.00M,,06/16/2021,Unattributed VC,$230.00M
Talkdesk,"Talkdesk helps growing businesses improve customer interactions, while simultaneously reducing costs. With Talkdesk, companies can have a call center up­ and ­running in minutes and have access to call center functionality including IVR, skills­-based routing, call conferencing, comprehensive reporting, all in an intuitive web­ based interface. Talkdesk integrates with CRM systems to deliver real ­time customer information agents need to improve customer interactions.",Internet Software & Services,United States,$504.77M,2011,08/12/2021,Series D,$230.00M
HotChalk,"HotChalk is a learning environment for K-12 teachers, students and parents that includes a learning management system (LMS), a library of teacher-contributed lesson plans, premium digital content, and professional development for teachers in a Web-based environment. Available through any Internet browser, the HotChalk Learning Environment is an easy to use system and brings teachers, students and parents together to improve education.On November 20, 2020 HotChalk was acquired by Noodle. The terms of the transaction were not disclosed.",Internet Software & Services,United States,$249.15M,2004,11/07/2015,Corporate Minority,$230.00M
Zilingo,"Zilingo is an online marketplace with a focus on fashion and beauty. Zilingo connects businesses across the entire supply chain and provides them everything they need to run a business - from design, product development, fabric procurement, manufacturing, cataloging, marketing, inventory management, distribution, billing, customer service, working capital, and trend forecasting. With millions of product listings on Zilingo.com, users can shop from a selection of indie labels, local designers, international and celebrity brands, all in one place.",eCommerce,Singapore,$307.81M,2015,02/11/2019,Series D,$226.00M
GupShup,"Gupshup enables better customer engagement through conversational messaging. Across verticals, thousands of large and small businesses in emerging markets use Gupshup to build conversational experiences across marketing, sales and support. Gupshup’s carrier-grade platform provides a single messaging API for 30+ channels, a rich conversational experience-building tool kit for any use case and a network of emerging market partnerships across messaging channels, device manufacturers, ISVs and operators.",Mobile Software & Services,United States,$387.00M,2004,07/28/2021,Series F - II,$225.90M
MasterClass,"MasterClass is an online education platform. Customers can access pre-recorded tutorials and lessons from famous thinkers, academics and business people.",Internet Software & Services,United States,$461.40M,2015,05/13/2021,Series F,$225.00M
Pure Storage,"Pure Storage, the all-flash enterprise storage company, enables the broad deployment of flash in the data center. When compared to traditional disk-centric arrays, Pure Storage all-flash enterprise arrays are 10x faster and 10x more space and power efficient at a price point that is less than performance disk per gigabyte stored. The Pure Storage FlashArray is ideal for high performance workloads, including server virtualization, desktop virtualization (VDI), database (OLTP, real-time analytics) and cloud computing.",Computer Storage & Peripherals,United States,$470.00M,,04/23/2014,Series F,$225.00M
Turntide Technologies,"Turntide Technologies offers a smart motor system that, based on switched reluctance technology, optimizes efficiency, advances sustainability goals, and saves money.",Electrical Product Distribution,United States,$407.81M,,06/30/2021,Convertible Note,$225.00M
VTEX,VTEX provides a cloud-based e-commerce platform and omnichannel solutions.,eCommerce,Brazil,$365.00M,1999,09/28/2020,Series D,$225.00M
Postman,"Postman is an API testing suite for developers that allows them to build, publish, document, design, monitor, test, and debug their APIs.",Internet Software & Services,United States,$433.00M,2014,08/18/2021,Series D,$225.00M
Dream11,"Dream11 is an online fantasy sports site that rewards users with cash. The platform offers its users fantasy gaming in categories such as cricket, football, kabaddi, and National Basketball Association (NBA).",Internet Software & Services,India,$325.08M,2007,09/14/2020,Series E,$225.00M
Forward,"Forward offers evidence-based care that is focused on prevention and improvement. Forward provides doctors with tools such as remote biometrics monitoring, app-based care and predictive risk scoring.",Internet Software & Services,United States,$258.00M,2016,03/11/2021,Series D,$225.00M
Illumio,"Illumio specializes in micro-segmentation and the prevention of cyber threats inside data centers and cloud environments. Illumio's Adaptive Security Platform™ uniquely protects critical information with real-time application dependency mapping and micro-segmentation that works in any data center, public cloud, or across hybrid deployments on bare-metal, virtualization, and containers.",Internet Software & Services,United States,$557.15M,2013,06/24/2021,Series F,$225.00M
Misfits Market,"Misfits Market is a subscription-based, direct-to-consumer service that delivers produce to customers at discounted prices.",eCommerce,United States,$526.50M,2018,09/14/2021,Series C - II,$225.00M
Pattern,"Pattern is a growth intelligence organization for eCommerce, offering monitoring, compliance, fulfillment and marketing internationally.",eCommerce,United States,$277.00M,2013,10/06/2021,Series B,$225.00M
HuiMin,HuiMin is a B2B wholesale and supply chain platform that connects hundreds of thousands of community convenience stores with end consumers and retailers.,eCommerce,China,$519.63M,2013,09/09/2019,Series C,$224.63M
SmartSens Technology,"SmartSens Technology is a high-tech enterprise engaged in the research and development, design and service of CMOS image sensor chip products.",Chips & Semiconductors,China,$224.45M,2011,10/23/2020,Seed VC - III,$224.45M
Solarisbank,"Solarisbank is a Berlin-based fintech company that offers Banking as a Platform service. solarisBank provides a banking platform that allows mostly digital companies and financial services start-ups to access various banking service modules, which then can be integrated into their processes, websites, or mobile applications.",Accounting & Finance Software,Germany,$402.46M,2016,07/13/2021,Series D,$224.00M
Equinix Pacific,"Equinix Pacific was a Internet/Internet Software & Services company based in Honolulu, Hawaii. Equinix Pacific was acquired in 2002.",Internet Software & Services,United States,$236.00M,2000,03/14/2001,Series B,$224.00M
Rocket Lawyer,Rocket Lawyer allows users to create customized legal documents that can be downloaded and shared instantly. Legal plan members have access to free document reviews from local attorneys and receive discounted rates on legal services for more complicated legal needs. Lawyers can access easy online marketing tools and targeted client referrals.,Internet Software & Services,United States,$276.40M,2008,04/21/2021,Line of Credit,$223.00M
Fangdd,"Fangdd (NASDAQ: DUO) is a real estate shopping guide information platform that provides marketing services to property developers, brokerage agencies and home buyers. In addition to the web portal, Fangdd also developed multiple apps. Fangdd, a namesake mobile app of the company, is focused on individual home buyers who want to find property information. Fangdd Realtor is dedicated to brokers who sell second-hand houses. Fangdiantong is a marketing platform for property developers and breakage agencies and Fangpaipai is a dedicated camera app helping brokers to take pictures of houses.",Internet Software & Services,China,$311.00M,2011,09/16/2015,Series C,$223.00M
Alan,Alan is a Paris-based digital health insurance company that develops subscription-based software for insurance with clear pricing and transparent reimbursement policies. Alan is a primary insurer that distributes its own health plans directly to companies and individuals.,Internet Software & Services,France,$363.17M,2016,04/19/2021,Series D,$222.60M
Zeta Global,"Zeta Global (NYSE: ZETA) operates a Customer Lifecycle Marketing platform company that integrates Big Data, proprietary technology and analytics to help brands acquire, grow and retain customers. The company's set of Data, Email, Social, Display, Search and Mobile solutions are used globally by hundreds of Middle Market and Fortune 500 brands.",Internet Software & Services,United States,$610.00M,2007,03/01/2021,Debt - II,$222.50M
Graphcore,"Graphcore is a Bristol, UK-based AI chipmaker specializing in Intelligence Processing Unit (IPU) products specifically designed for artificial intelligence.",Application & Data Integration Software,United Kingdom,$682.00M,2016,12/29/2020,Series E,$222.00M
PropertyGuru,"PropertyGuru, developed by Allproperty Media, is a Singapore property website - offering a place to start real estate searches as an investor, buying for own use, or looking for a place to rent. In PropertyGuru, users can find properties for sale and rent with detailed information about each property, including maps and photos.",Internet Software & Services,Singapore,$559.22M,2007,09/02/2020,Series E,$220.30M
WorkFusion,"WorkFusion's AI-driven automation and RPA software creates and manages software robots for knowledge work. The company's technology automates business processes by combining AI, RPA and people in one platform. Enterprises in banking and financial services, insurance, healthcare, consumer products, utilities, telecom, retail and more can use WorkFusion to reduce their total costs, up-skill their workforce and to use AI to overcome the complexity of transforming and growing a business.",Internet Software & Services,United States,$339.25M,2011,03/09/2021,Series F,$220.00M
Exo,"Exo seeks to meld material science, semiconductor technologies, advanced signal processing and AI to enable low cost imaging. The company is developing an ultrasound platform to bring medical imaging to people around the world who have no access.",Medical Devices & Equipment,United States,$307.60M,2016,07/29/2021,Series C,$220.00M
Eightfold.ai,"Eightfold.ai offers a talent intelligence platform. It allows the user to centralize all their people data, including ATS, HRMS, resume books, and spreadsheets.",Internet Software & Services,United States,$397.00M,2016,06/10/2021,Series E,$220.00M
Reify Health,"Reify Health provides cloud-based software that accelerates the development of new and life-saving therapies. Reify Health aims to change how clinical trials are run through its StudyTeam and Care Access platforms. StudyTeam delivers a technology platform for optimizing patient recruitment and enrollment. Care Access aims to conduct decentralized trials at scale is a decentralized research organization that aims to bring clinical trial infrastructure directly to patients, healthcare providers, and communities.",Internet Software & Services,United States,$257.64M,2012,08/10/2021,Series C,$220.00M
Ubox Technology & Trade Co.,"Ubox is a smart vending machine operator in China. Through its self-operated and franchise expansion models, Ubox has established a national vending machine network in China.",Specialty Computer Hardware,China,$310.90M,2011,08/22/2019,Private Equity - II,$225.90M
MasterClass,"MasterClass is an online education platform. Customers can access pre-recorded tutorials and lessons from famous thinkers, academics and business people.",Internet Software & Services,United States,$461.40M,2015,05/13/2021,Series F,$225.00M
Pure Storage,"Pure Storage, the all-flash enterprise storage company, enables the broad deployment of flash in the data center. When compared to traditional disk-centric arrays, Pure Storage all-flash enterprise arrays are 10x faster and 10x more space and power efficient at a price point that is less than performance disk per gigabyte stored. The Pure Storage FlashArray is ideal for high performance workloads, including server virtualization, desktop virtualization (VDI), database (OLTP, real-time analytics) and cloud computing.",Computer Storage & Peripherals,United States,$470.00M,,04/23/2014,Series F,$225.00M
Turntide Technologies,"Turntide Technologies offers a smart motor system that, based on switched reluctance technology, optimizes efficiency, advances sustainability goals, and saves money.",Electrical Product Distribution,United States,$407.81M,,06/30/2021,Convertible Note,$225.00M
Komodo Health,"Komodo Health is a data company aggregating healthcare data. Specifically, Komodo aggregates hundreds of longitudinal, all-inclusive payer data sets including Medicare, through QECP accreditation by CMS.",Internet Software & Services,United States,$315.00M,2014,03/22/2021,Series E,$220.00M
Tempo,Tempo delivers the personalized guidance of a 1-on-1 trainer as well as provides a fitness class. Tempo's Microsoft Kinect-esque motion sensors scan 30 times per second and notify the user if their form is incorrect.,Internet Software & Services,United States,$298.97M,2014,04/13/2021,Series C,$220.00M
Lenskart,"Lenskart offers prescription eyeglasses, contact lenses, and accessories online.",eCommerce,India,$675.90M,2008,07/19/2021,Series H,$220.00M
Elemy,"Elemy is a provider of in-home and online pediatric behavioral care, including pediatric autism.",Internet Software & Services,United States,$269.00M,2019,10/06/2021,Series B,$219.00M
