Companies,Investment Stage,Deal Size,Deal Date,Round Investors,Description,Industry,Country,Total Funding,All Investors
"Z
Zuoyebang",Series E,$750.00M,06/29/2020,N/A,"Zuoyebang is an online education company that provides study platforms and services targeting K-12 students. The platform is a comprehensive study tool for school work search, efficient practice, learning, and discussion.",Internet Software & Services,China,"$3,435.00M",N/A
AmWell,IPO,$742.00M,09/17/2020,N/A,"AmWell (NYSE: AMWL) enables providers, insurers, and patients to deliver greater access to more affordable healthcare. The company offers a single platform to support all telehealth needs from urgent to acute and post-acute care, as well as chronic care management and healthy living.",Internet Software & Services,United States,$806.22M,N/A
"S
Samsara Networks",Series F,$700.00M,05/20/2020,N/A,"Samsara provides Industrial IoT solutions to increase the efficiency, safety, and sustainability of the operations that power the economy. Its portfolio of IoT solutions combine hardware, software, and cloud to bring real-time visibility, analytics, and AI to operations. The company's suite of solutions includes vehicle telematics, driver safety, mobile workflow and compliance, asset tracking, and industrial process controls – all in an integrated, open, real-time platform.",Internet Software & Services,United States,"$1,230.00M",N/A
C3.ai,IPO,$651.00M,12/09/2020,N/A,"C3.ai (NYSE: AI) is an AI software provider that delivers the C3 AI Suite for developing, deploying, and operating large-scale AI, predictive analytics, and IoT applications at scale for any enterprise value chain in any industry. The core of the C3.ai offering is a model-driven AI architecture that enhances data science and application development. C3.ai’s pre-built applications, for a variety of industries, include predictive maintenance, fraud detection, supply network optimization, energy management, and anti-money laundering.",Internet Software & Services,United States,$356.14M,N/A
Airbnb,IPO,"$3,490.00M",12/10/2020,N/A,"Airbnb (NASDAQ: ABNB) is a community marketplace for people to list, discover, and book accommodations around the world online or from a mobile phone. Whether an apartment for a night, a castle for a week, or a villa for a month, Airbnb connects people to travel experiences, at any price point.",eCommerce,United States,"$6,625.65M",N/A
DoorDash,IPO,"$3,370.00M",12/08/2020,N/A,"DoorDash (NYSE: DASH) is an on-demand delivery service that connects customers with local businesses. Through the DoorDash marketplace, people can purchase goods from local merchants and have them delivered in less than 45 minutes - thanks to its logistics technology.",eCommerce,United States,"$2,900.94M",N/A
Datto,IPO,$561.00M,10/21/2020,N/A,"Datto (NYSE: MSP) provides comprehensive backup, recovery, and business continuity solutions used by thousands of managed service providers worldwide.",Internet Software & Services,United States,$100.00M,N/A
"K
Kingsoft Cloud Storage",IPO,$510.00M,05/08/2020,N/A,"Kingsoft Cloud Storage (NASDAQ: KC), a subsidiary of Kingsoft Group, is primarily engaged in the business of a cloud service platform, commercial cloud storage, and personal cloud storage.",Internet Software & Services,China,$966.00M,N/A
Diligent,Series D,$500.00M,08/05/2020,N/A,"Diligent is a provider of secure corporate governance and collaboration solutions for boards and senior executives. The company allows board members and senior executives access their time-sensitive and confidential information, ultimately helping them make better decisions. The Diligent Boards (formerly Diligent Boardbooks) solution speeds and simplifies how board materials are produced, delivered and collaborated on via any device, removing the security concerns of doing this by courier, email and file sharing.",Internet Software & Services,United States,$814.33M,N/A
BYJU's,Series F - V,$500.00M,09/08/2020,N/A,"BYJU's offers a K-12 learning app with learning programs for students in classes 4-12 (K-12) and preparation for competitive exams such as JEE, NEET, CAT, IAS, GRE, and GMAT.",Internet Software & Services,India,"$5,182.78M",N/A
Tokopedia,Series H,$500.00M,06/24/2020,N/A,"Tokopedia is an Indonesian-based online mall that brings together buyers and sellers to allow online transactions securely and comfortably.On April 16, 2021, Tokopedia merged with Gojek to form GoTo.",eCommerce,Indonesia,"$3,297.70M",N/A
Dxy.cn,Series E,$500.00M,12/28/2020,N/A,Dxy.cn is a healthcare information sharing website with more than four million registered users. The site's services include access to drug information and a network of more than two million doctors.,Internet Software & Services,China,$672.00M,N/A
Snowflake Computing,Series G,$479.00M,02/07/2020,N/A,Snowflake Computing (NYSE: SNOW) provides a cloud data warehouse enabling enterprises to access structured and semi-structured data.,Internet Software & Services,United States,"$1,386.79M",N/A
Vroom,IPO,$467.50M,06/09/2020,N/A,"Vroom is an end-to-end eCommerce platform that offers a better way to buy and sell used vehicles. Vroom’s scalable, data-driven technology brings all phases of the vehicle buying and selling process to consumers wherever they are. Vroom offers an extensive selection of vehicles, transparent pricing, competitive financing, and at home pick-up and delivery.",eCommerce,United States,"$1,231.25M",N/A
Zwift,Series C,$450.00M,09/16/2020,N/A,"Zwift offers immersive indoor cycling software. The company uses multiplayer gaming technology to bring the outdoor cycling experience indoors. Athletes from around the globe can ride with each other in 3Dgenerated worlds simply by connecting their existing devices (e.g. trainers, power meters, heart rate monitors, etc) wirelessly via open industry standard ANT+ and BLE. From friendly competition to casual group rides and structured training programs, Zwift is building a community of like-minded athletes united in the pursuit of a better social cycling experience.",Internet Software & Services,United States,$597.00M,N/A
"F
Foxit Software",IPO,$420.00M,09/08/2020,N/A,"Foxit Software (688095.SH) provides efficient, professional, and safe PDF editor downloads, PDF reader downloads, PDF converter downloads, and comprehensive PDF document product technologies and solutions.",Internet Software & Services,China,,N/A
"I
iHuman",IPO,$420.00M,10/09/2020,N/A,iHuman (NYSE: IH) offers an educational online platform that transforms learning into a fun journey for children ages 3 to 8.,Internet Software & Services,China,,N/A
Duck Creek Technologies,IPO,$405.00M,08/14/2020,N/A,"Duck Creek Technologies provides comprehensive P&C insurance software and services delivered on-premise or via Duck Creek On-Demand, a differentiated Software as a Service model. The software is designed to work independently or as a combined approach to quickly handle the needs of insurers of all sizes worldwide. Duck Creek solutions enable clients to optimize outcomes through digital and data capabilities, streamlined operations, and consistent functionality.",Internet Software & Services,United States,$364.42M,N/A
Toast,Series F,$400.00M,02/14/2020,N/A,"Toast (NYSE: TOST) is an all-in-one restaurant management system. Toast automatically tracks menu sales, inventory, and labor, and organizes that information into detailed reports that users can access from any internet-connected device. With Toast, data and insight about business are always just a few clicks away.",Internet Software & Services,United States,$903.00M,N/A
DoorDash,Series H,$400.00M,06/18/2020,N/A,"DoorDash (NYSE: DASH) is an on-demand delivery service that connects customers with local businesses. Through the DoorDash marketplace, people can purchase goods from local merchants and have them delivered in less than 45 minutes - thanks to its logistics technology.",eCommerce,United States,"$2,471.72M",N/A
"V
Vasta Platform",IPO,$352.93M,07/31/2020,N/A,"Vasta Platform (NASDAQ: VSTA) is a high growth education company in Brazil powered by technology, providing end-to-end educational and digital solutions that cater to all needs of private schools operating in the K-12 educational segment, ultimately benefiting all of our stakeholders, including students, parents, educators, administrators, and private school owners.",Internet Software & Services,Brazil,,N/A
Fanatics,Series E,$350.00M,08/14/2020,N/A,"Fanatics provides e-commerce, merchandising, marketing, and fulfillment services for professional sports leagues and teams, collegiate athletic programs and conferences, and other major sports properties. Offering broad assortments online consisting of officially licensed items, Fanatics leverages both its large network of partners and its own collection of brands, including Fanatics (www.fanatics.com) and FansEdge (www.fansedge.com), to distribute goods to consumers all over the world.",eCommerce,United States,"$2,690.00M",N/A
Tokopedia,Series H - II,$350.00M,10/23/2020,N/A,"Tokopedia is an Indonesian-based online mall that brings together buyers and sellers to allow online transactions securely and comfortably.On April 16, 2021, Tokopedia merged with Gojek to form GoTo.",eCommerce,Indonesia,"$3,297.70M",N/A
"H
Hippo Insurance",Series F,$350.00M,11/24/2020,N/A,"Hippo Insurance (NYSE: HIPO) offers intuitive and proactive home insurance by using data, like municipal building records and technology such as satellite imagery and smart home devices, to streamline the quoting and onboarding experience for the protection of products and possessions, including appliances, consumer electronics, and home offices.",Internet Software & Services,United States,$709.00M,N/A
Shift4 Payments,IPO,$345.00M,06/05/2020,N/A,"Shift4 Payments develops enterprise payment solutions that provide web-based applications allowing merchants to convert credit, debit, check and gift card transactions into dollars in the bank quickly, accurately, and securely.",Internet Software & Services,United States,,N/A
Netskope,Series G,$340.00M,02/06/2020,N/A,"Netskope offers a security cloud that provides visibility and real-time data and threat protection when accessing cloud services, websites, and private apps from anywhere, on any device. Netskope understands the cloud and takes a data-centric approach that empowers security teams with the right balance of protection and speed they need to secure their digital transformation journey.",Internet Software & Services,United States,"$1,040.10M",N/A
"K
Kakao Games",IPO,$330.60M,09/10/2020,N/A,"Kakao Games (KOSDAQ: 293490), part of Kakao (KOSDAQ: 035720), is a global multi-platform game company.",Internet Software & Services,South Korea,$140.12M,N/A
Sumo Logic,IPO,$325.60M,09/17/2020,N/A,"Sumo Logic (NASDAQ: SUMO) is a cloud-native, machine data analytics platform delivering real-time continuous intelligence, from structured, semi-structured and unstructured data across the entire application lifecycle and stack. Customers around the globe rely on Sumo Logic for the analytics and insights to build, run and secure their modern applications and cloud infrastructures. With Sumo Logic, customers gain a multi-tenant, service-model advantage to accelerate their shift to continuous innovation, increasing competitive advantage, business value and growth.",Internet Software & Services,United States,$345.50M,N/A
JFrog,IPO,$320.00M,09/16/2020,N/A,"JFrog (NASDAQ: FROG) provides infrastructure for software management and distribution in open-source, On-prem, and SaaS cloud solutions. JFrog's Artifactory Binary Repository Manager and Bintray the binaries distribution platform are social platforms for developers to distribute, store, download, and share software packages.",Internet Software & Services,United States,$227.50M,N/A
Lemonade,IPO,$319.00M,07/02/2020,N/A,Lemonade (NYSE: LMND) is a licensed insurance carrier offering homeowners and renters insurance powered by artificial intelligence and behavioral economics.,Internet Software & Services,United States,$480.00M,N/A
XtalPi,Series C,$318.80M,09/28/2020,N/A,XtalPi is a cloud-based technology company that solves drug polymorphism by providing accurate computational crystal structure prediction for small-molecule drugs.,Internet Software & Services,China,$783.81M,N/A
"Z
Zhenkunhang",Series E,$315.00M,10/28/2020,N/A,"Zhenkunhang is an industrial product eCommerce platform that provides MRO (maintenance, repair, and operations) products.",eCommerce,China,$690.02M,N/A
"C
Cazoo",Series D,$311.00M,10/01/2020,N/A,"Cazoo sells refurbished cars online, delivers them to customers' homes within 48 hours and offers a seven-day free returns policy.",eCommerce,United Kingdom,$559.08M,N/A
Locaweb,IPO,$308.00M,02/11/2020,N/A,"Locaweb is a provider of web hosting, cloud computing, and SaaS applications to small and medium businesses. The company offers a full suite of services to help businesses establish and grow their internet presence, including web hosting, cloud servers, domain registration, e-mail accounts, e-mail marketing, and e-commerce.",Internet Software & Services,Brazil,,N/A
"M
Medbanks Network Technology",Series E,$305.40M,12/21/2020,N/A,"Medbanks is an oncology data platform in the field of cancer. It develops intelligent diagnosis and treatment systems, as well as comprehensive solutions to improve the level of tumor diagnosis and treatment and the efficiency of doctors' clinical work.",Internet Software & Services,China,$546.47M,N/A
"P
PARTS iD",Reverse Merger,$300.00M,11/20/2020,N/A,"PARTS iD (NYSE: LGC) s a technology-driven, digital commerce company focused on creating custom infrastructure and unique user experiences within niche markets. It creates a one-stop digital commerce destination for the automotive parts and accessories market.",eCommerce,United States,,N/A
Bakkt,Series B,$300.00M,03/13/2020,N/A,"Bakkt (NASDAQ: BKKT) is designed to enable consumers and institutions to buy, sell, store and spend digital assets. Bakkt develops open technology to connect existing market and merchant infrastructure to the blockchain.",Internet Software & Services,United States,$482.50M,N/A
Mirakl,Series D,$300.00M,09/22/2020,N/A,"Mirakl provides a marketplace platform that allows both B2B and B2C businesses to increase the number of products available for buyers, grow the lifetime value of customers, and anticipate buyer needs and preferences. The solution integrates into any eCommerce platform.",eCommerce,France,$948.00M,N/A
BYJU's,Series F - VI,$300.00M,09/23/2020,N/A,"BYJU's offers a K-12 learning app with learning programs for students in classes 4-12 (K-12) and preparation for competitive exams such as JEE, NEET, CAT, IAS, GRE, and GMAT.",Internet Software & Services,India,"$5,182.78M",N/A
"O
OneTrust",Series C,$300.00M,12/21/2020,N/A,"OneTrust, a software platform for privacy professionals, is designed to operationalize data privacy compliance and Privacy by Design. The web-based console helps automate privacy impact assessments and data mapping, identify privacy risks, and enforce risk management and control activities in an integrated and agile approach. The result is the ability to demonstrate accountability and compliance with EU's data protection requirements and do this globally across privacy jurisdictions and frameworks.",Internet Software & Services,United States,$937.29M,N/A
UnifiedPost,IPO,$294.55M,09/22/2020,N/A,"UnifiedPost is a Belgium-based international provider of technology and services that enable the optimization of business processes across a variety of markets and industries. The company's solutions power customers across a wide range of markets and industry verticals – from banks to insurance, media, utility and travel companies, to name but a few. UnifiedPost operates globally via a network of printing, scanning & delivery partners.",Internet Software & Services,Belgium,$60.86M,N/A
"S
Shipmonk",Series B,$290.00M,12/02/2020,N/A,"ShipMonk provides multi-channel order fulfillment services and inventory management software to small and midsized (SMB) e-commerce companies. ShipMonk enables SMBs to focus on building their brands and achieving growth rather than managing backend logistics. API integrations sync directly with customers' marketplace platforms and online shopping carts to automatically import orders, which are then processed at ShipMonk's two bicoastal warehouse locations. ShipMonk aims to save e-commerce companies money while providing a scalable supply chain solution at service levels that the company believes are difficult for SMBs to achieve on their own.",Internet Software & Services,United States,$365.00M,N/A
ClassPass,Series E,$285.00M,01/08/2020,N/A,"ClassPass is a monthly membership program for fitness classes across multiple gyms and studios, making working out more accessible.On October 13th, 2021, ClassPass was acquired by MINDBODY. Terms of the transaction were not disclosed.",eCommerce,United States,$544.65M,N/A
Zomato,Series J - IV,$283.10M,10/14/2020,N/A,"Zomato is an India-based online food and lifestyle portal that provides advertising, ratings, and reviews for restaurants.",Internet Software & Services,India,"$1,328.46M",N/A
StockX,Series E,$275.00M,12/16/2020,N/A,"StockX is a marketplace for sneakers that uses a 'bid/ask' market to connect buyers and sellers. StockX provides real-time, credible pricing complete with live bids and asks, as well as timestamped transactions, so all participants can make their buy and sell decisions based on transparent and visible information. It also provides in-depth market analysis, individual portfolio tracking, historical sales and volume metrics.",eCommerce,United States,$520.00M,N/A
PingCAP,Series D,$270.00M,11/17/2020,N/A,"PingCAP is a NewSQL database provider that develops TiDB, a popular open-source distributed Hybrid Transactional/Analytical Processing (HTAP) database.",Internet Software & Services,China,$335.00M,N/A
SUPCON Group,IPO,$268.43M,11/24/2020,N/A,"SUPCON Group (688777.SH) is an industrial and information technology company. SUPCon performs research and development, manufacturing, marketing, engineering, and system integration for industrial total solutions. The company's products and services are used in process and manufacturing industries, including chemicals, oil refining, petrochemicals, mining and metals, electric power, pulp and paper, and robotics. Other applications are public business systems, including intelligent traffic, environment, water treatment, digital medical, building automation, and education.",Internet Software & Services,China,,N/A
"C
ClassIn",Series C,$265.00M,11/26/2020,N/A,"Empower Education Technology (EEO) is a K-12 online educational live video broadcasting solutions provider. Its products include ClassIn, launched in November 2015, which can be accessed through PC, Mac, Android, Web, and WeChat interfaces. ClassIn supports online live classes with up to 16 participants. Content categories include study abroad testing, vocational training for adults, youth programming, strategy game 'Go' training, painting, and music.",Internet Software & Services,China,$265.00M,N/A
Creditas,Series E,$255.00M,12/18/2020,N/A,"Creditas is a digital lending platform focused on secured lending. Creditas funds customer loans through both investors and financial institutions. Core products include a version of home equity and auto loans, in which the borrowers offer residences or vehicles as a collateral for a first-lien lending product.",Internet Software & Services,Brazil,$607.44M,N/A
Telos,IPO,$254.50M,11/19/2020,N/A,"Telos (NASDAQ: TLS) provides organizations with solutions and services for continuous security assurance. Its offerings include cybersecurity solutions and services for IT risk management and information security; secure mobility to protect globally connected organizations; and identity management to establish trust in personnel and continuously monitor for insider threats. The company serves military, intelligence, and civilian agencies of the federal government, allied nations, and commercial organizations around the world.",Internet Software & Services,United States,,N/A
"A
Alto Pharmacy",Series D,$250.00M,01/30/2020,N/A,"Alto Pharmacy provides same-day, free delivery, seven days a week for prescriptions, offering cost transparency, personalized in-app and phone support, and real-time coordination with doctors and insurance companies.",eCommerce,United States,$351.64M,N/A
Cohesity,Series E,$250.00M,04/09/2020,N/A,"Cohesity enables companies of all sizes to bring order to their data chaos. Its intelligent data platform converges secondary storage workflows to transform disparate silos of data into business insight. Cohesity takes aim at the inefficient, fractured landscape of secondary storage for data protection, development, and analytics by applying a distributed, web-scale architecture to break down these data silos. Its solution converges all secondary storage workflows onto an intelligent, scalable data platform so customers can store and protect data, use it efficiently, and learn from it instantly.",Internet Software & Services,United States,$660.00M,N/A
Confluent,Series E,$250.00M,04/21/2020,N/A,"Confluent provides an Apache Kafka-based streaming platform for enterprises in industries such as retail, logistics, manufacturing, financial services, technology, and media to maximize the value of their data. Confluent Platform lets enterprises move data from isolated systems into a real-time data pipeline where they can act on it immediately.",Internet Software & Services,United States,$455.90M,N/A
DataRobot,Series F,$320.00M,11/17/2020,N/A,"DataRobot offers an enterprise machine learning platform that empowers users of all skill levels to make better predictions faster. Incorporating a library of hundreds of open-source machine learning algorithms, the DataRobot platform automates, trains, and evaluates predictive models in parallel, delivering more accurate predictions at scale.",Internet Software & Services,United States,"$1,089.37M",N/A
Lemonade,IPO,$319.00M,07/02/2020,N/A,Lemonade (NYSE: LMND) is a licensed insurance carrier offering homeowners and renters insurance powered by artificial intelligence and behavioral economics.,Internet Software & Services,United States,$480.00M,N/A
XtalPi,Series C,$318.80M,09/28/2020,N/A,XtalPi is a cloud-based technology company that solves drug polymorphism by providing accurate computational crystal structure prediction for small-molecule drugs.,Internet Software & Services,China,$783.81M,N/A
"Z
Zhenkunhang",Series E,$315.00M,10/28/2020,N/A,"Zhenkunhang is an industrial product eCommerce platform that provides MRO (maintenance, repair, and operations) products.",eCommerce,China,$690.02M,N/A
"J
JD MRO",Series A,$230.00M,04/01/2020,N/A,"JD MRO is the subsidiary of JD.com that provides industrial and enterprise products, including lighting, cleaning, chemicals, lab products, electric products, personal protection, and more.",eCommerce,China,$230.00M,N/A
Olive,Series G,$225.50M,12/01/2020,N/A,"Olive is a healthcare-specific artificial intelligence and process automation company that empowers healthcare organizations to improve efficiency and patient care while reducing costly administrative errors. Its eponymous AI solution, Olive, acts as the intelligent router between systems and data by automating repetitive, high-volume tasks and workflows, providing true interoperability. Olive has helped healthcare organizations reduce data and billing errors, eliminate denials for no coverage, improve cash collections by reducing days in A/R, and more.",Internet Software & Services,United States,$858.80M,N/A
Oscar Health,Series E,$225.00M,06/26/2020,N/A,"Oscar Health (NYSE: OSCR) is a technology-driven, consumer-focused, health insurance company using technology and personalized service to give members transparency into the health care system and empower them to choose quality, affordable care. The Oscar member experience includes a personalized concierge team that helps members do everything from finding a doctor to processing a claim, a 24/7 Doctor on Call service for members on the go, and an integrated, curated network of physicians and hospitals.",Internet Software & Services,United States,"$1,632.50M",N/A
"D
Dream11",Series E,$225.00M,09/14/2020,N/A,"Dream11 is an online fantasy sports site that rewards users with cash. The platform offers its users fantasy gaming in categories such as cricket, football, kabaddi, and National Basketball Association (NBA).",Internet Software & Services,India,"$1,165.08M",N/A
"V
VTEX",Series D,$225.00M,09/28/2020,N/A,VTEX provides a cloud-based e-commerce platform and omnichannel solutions.,eCommerce,Brazil,$365.00M,N/A
PropertyGuru,Series E,$220.30M,09/02/2020,N/A,"PropertyGuru, developed by Allproperty Media, is a Singapore property website - offering a place to start real estate searches as an investor, buying for own use, or looking for a place to rent. In PropertyGuru, users can find properties for sale and rent with detailed information about each property, including maps and photos.",Internet Software & Services,Singapore,$559.22M,N/A
"A
Accolade",IPO,$220.00M,07/02/2020,N/A,"Accolade (NASDAQ: ACCD) is a personalized health and benefits solution that improves the experience, outcomes, and cost of healthcare for employers, health plans and their members. With a unique blend of compassionate advisors, clinical professionals and intelligent technologies, the company engages individuals and families in their health, establish trust, and influence their decisions at every stage of care. Connecting the widest array of personal health data and programs, Accolade presents a single point of contact to effective health and benefits resources, while coordinating with providers at every step.",Internet Software & Services,United States,$215.40M,N/A
BigCommerce,IPO,$216.47M,08/05/2020,N/A,"BigCommerce (NASDAQ:BIGC) helps fast-growing brands sell more. The BigCommerce platform provides small- and medium-sized retailers with everything they need to launch, promote, manage and scale a successful online store, complete with beautiful responsive themes, order processing, analytics, mobile commerce and marketing tools.",eCommerce,United States,$228.45M,N/A
StackPath,Series B,$216.00M,03/17/2020,N/A,StackPath offers a comprehensive security platform that provides a suite of mission-critical security web services. It collates and leverages information that each service gathers via a machine learning engine that becomes smarter and more threat-aware with each recorded event.,Internet Software & Services,United States,$396.00M,N/A
"O
OneTrust",Series B,$210.00M,02/20/2020,N/A,"OneTrust, a software platform for privacy professionals, is designed to operationalize data privacy compliance and Privacy by Design. The web-based console helps automate privacy impact assessments and data mapping, identify privacy risks, and enforce risk management and control activities in an integrated and agile approach. The result is the ability to demonstrate accountability and compliance with EU's data protection requirements and do this globally across privacy jurisdictions and frameworks.",Internet Software & Services,United States,$937.29M,N/A
Carta,Series F,$210.00M,05/15/2020,N/A,"Carta offers a suite of cloud services that simplify the administrative work involved in funding rounds, employee stock compensation, and related transactions. The platform helps private companies to streamline how to manage equity from founding to IPO, public companies to track employee and non-employee equity in one place, and investors to modernize how they manage their portfolio and back office.",Internet Software & Services,United States,"$1,157.80M",N/A
"M
Mission Lane",Series B,$207.13M,12/30/2020,N/A,"Mission Lane acts as a servicing agent for banks issuing credit cards. Mission Lane focuses on issuing credit cards to borrowers that don't meet traditional lenders' requirements in terms of credit scores, income stability and other factors.",Internet Software & Services,United States,$707.13M,N/A
Unqork,Series C,$207.00M,10/06/2020,N/A,"Unqork is a no-code, software-as-a-service (SaaS) platform that digitizes the client lifecycle and enables financial services and insurance companies to bring complex, regulated products to market without writing a single line of code. The company's patent-pending technology includes advanced calculations, decisions, UI design and workflow for risk assessment and digitization layered on top of legacy IT systems.",Internet Software & Services,United States,$367.17M,N/A
AvePoint,Series C,$200.00M,01/08/2020,N/A,"AvePoint accelerates digital transformation success. Companies and SharePoint and Office 365 users worldwide use AvePoint software and services for data migration, management, and protection needs in the cloud, on-premises and hybrid environments.",Internet Software & Services,United States,$294.00M,N/A
BYJU's,Series F,$200.00M,01/09/2020,N/A,"BYJU's offers a K-12 learning app with learning programs for students in classes 4-12 (K-12) and preparation for competitive exams such as JEE, NEET, CAT, IAS, GRE, and GMAT.",Internet Software & Services,India,"$5,182.78M",N/A
BYJU's,Series F - II,$200.00M,02/07/2020,N/A,"BYJU's offers a K-12 learning app with learning programs for students in classes 4-12 (K-12) and preparation for competitive exams such as JEE, NEET, CAT, IAS, GRE, and GMAT.",Internet Software & Services,India,"$5,182.78M",N/A
"C
Chehaoduo",Series D - II,$200.00M,05/06/2020,N/A,"Chehaoduo is the operator of Guazi, an online C2C used-car trading platform, and Maodou, a new car eCommerce platform.",eCommerce,China,"$4,304.03M",N/A
